SYMBOL, LAST_TREND,LAST_3_UP_TREND_COUNT,LAST_3_DOWN_TREND_COUNT,LAST_5_UP_TREND_COUNT,LAST_5_DOWN_TREND_COUNT,LAST_10_UP_TREND_COUNT,LAST_10_DOWN_TREND_COUNT
DELTACORP,UP_TREND,3,0,5,0,8,2
SREINFRA,DOWN_TREND,0,3,1,4,1,9
PNB,UP_TREND,3,0,3,2,6,4
VIKASECO,DOWN_TREND,1,2,2,3,5,5
A2ZINFRA,UP_TREND,3,0,5,0,10,0
INVENTURE,UP_TREND,3,0,5,0,10,0
LAKSHVILAS,DOWN_TREND,0,3,0,5,1,9
NELCAST,UP_TREND,3,0,3,2,5,5
JSWENERGY,DOWN_TREND,2,1,3,2,7,3
TANLA,UP_TREND,3,0,5,0,9,1
TV18BRDCST,DOWN_TREND,1,2,1,4,3,7
GUFICBIO,UP_TREND,3,0,5,0,9,1
KRIDHANINF,DOWN_TREND,1,2,3,2,7,3
ARSSINFRA,UP_TREND,3,0,5,0,8,2
PATELENG,DOWN_TREND,2,1,4,1,8,2
PRISMCEM,DOWN_TREND,0,3,1,4,2,8
CUB,UP_TREND,1,2,1,4,1,9
SPIC,UP_TREND,1,2,2,3,2,8
PFIZER,UP_TREND,3,0,5,0,10,0
RSSOFTWARE,DOWN_TREND,0,3,2,3,4,6
MERCATOR,DOWN_TREND,1,2,1,4,2,8
MCLEODRUSS,UP_TREND,1,2,1,4,1,9
NTPC,DOWN_TREND,1,2,2,3,5,5
REDINGTON,UP_TREND,3,0,5,0,10,0
GTOFFSHORE,DOWN_TREND,0,3,1,4,4,6
JSL,DOWN_TREND,0,3,1,4,5,5
ASHOKLEY,DOWN_TREND,0,3,0,5,0,10
KEC,DOWN_TREND,1,2,2,3,4,6
TATAPOWER,DOWN_TREND,0,3,0,5,1,9
TWL,DOWN_TREND,1,2,2,3,4,6
ELECON,UP_TREND,2,1,3,2,4,6
SUPREMEINF,UP_TREND,2,1,3,2,5,5
GRAPHITE,UP_TREND,2,1,4,1,8,2
JAICORPLTD,UP_TREND,2,1,2,3,2,8
MMTC,DOWN_TREND,2,1,4,1,8,2
ANDHRABANK,DOWN_TREND,0,3,1,4,2,8
OMAXE,UP_TREND,3,0,5,0,10,0
INDIGO,UP_TREND,3,0,5,0,10,0
KEI,DOWN_TREND,0,3,0,5,1,9
DSKULKARNI,UP_TREND,2,1,4,1,8,2
WSTCSTPAPR,DOWN_TREND,0,3,0,5,0,10
DALMIASUG,DOWN_TREND,0,3,0,5,1,9
RCF,UP_TREND,3,0,5,0,10,0
HEIDELBERG,UP_TREND,1,2,1,4,2,8
KTKBANK,DOWN_TREND,0,3,1,4,2,8
MANINDS,DOWN_TREND,0,3,0,5,0,10
MEGASOFT,UP_TREND,3,0,4,1,7,3
SPECIALITY,DOWN_TREND,2,1,3,2,8,2
JINDALPHOT,UP_TREND,3,0,5,0,10,0
INDIACEM,DOWN_TREND,0,3,0,5,0,10
L&TFH,DOWN_TREND,0,3,0,5,0,10
GLOBOFFS,DOWN_TREND,2,1,3,2,7,3
BANKINDIA,DOWN_TREND,0,3,1,4,1,9
ITDCEM,UP_TREND,3,0,5,0,10,0
ANSALAPI,DOWN_TREND,1,2,1,4,3,7
MRPL,DOWN_TREND,0,3,0,5,0,10
VIPIND,DOWN_TREND,2,1,3,2,8,2
FACT,UP_TREND,2,1,4,1,8,2
SUMEETINDS,UP_TREND,1,2,2,3,2,8
TIMETECHNO,UP_TREND,3,0,4,1,9,1
TEXINFRA,UP_TREND,3,0,5,0,10,0
BALAJITELE,UP_TREND,3,0,5,0,7,3
BODALCHEM,DOWN_TREND,1,2,2,3,6,4
HTMEDIA,DOWN_TREND,0,3,0,5,1,9
METALFORGE,UP_TREND,1,2,1,4,1,9
GUJGASLTD,UP_TREND,3,0,5,0,10,0
VSTIND,UP_TREND,3,0,5,0,10,0
TEXRAIL,DOWN_TREND,0,3,0,5,1,9
SUPERSPIN,UP_TREND,3,0,5,0,10,0
EMAMIINFRA,UP_TREND,3,0,5,0,7,3
SUNDRMBRAK,UP_TREND,3,0,5,0,10,0
GOKULAGRO,DOWN_TREND,1,2,1,4,4,6
GEOJITBNPP,UP_TREND
NMDC,DOWN_TREND,0,3,0,5,0,10
GOKEX,UP_TREND,3,0,4,1,6,4
EKC,DOWN_TREND,0,3,0,5,0,10
FILATEX,DOWN_TREND,2,1,4,1,9,1
MEGH,DOWN_TREND,2,1,2,3,4,6
VARDMNPOLY,UP_TREND,2,1,2,3,4,6
ACE,DOWN_TREND,0,3,0,5,0,10
BEL,DOWN_TREND,0,3,0,5,0,10
PRABHAT,DOWN_TREND,0,3,0,5,0,10
NBVENTURES,DOWN_TREND,1,2,3,2,7,3
TNPETRO,UP_TREND,3,0,5,0,10,0
BGRENERGY,DOWN_TREND,0,3,0,5,1,9
UTTAMSUGAR,DOWN_TREND,0,3,0,5,0,10
SICAGEN,UP_TREND,2,1,4,1,7,3
ITI,UP_TREND,3,0,5,0,10,0
RDEL,DOWN_TREND,2,1,4,1,8,2
IDBI,UP_TREND,1,2,2,3,3,7
STRTECH,DOWN_TREND,0,3,0,5,2,8
GPPL,DOWN_TREND,0,3,0,5,0,10
SEAMECLTD,UP_TREND,2,1,4,1,8,2
GSFC,UP_TREND,3,0,5,0,9,1
ABFRL,UP_TREND,3,0,5,0,10,0
NITINFIRE,UP_TREND,3,0,5,0,9,1
EROSMEDIA,UP_TREND,3,0,5,0,10,0
TGBHOTELS,UP_TREND,3,0,5,0,10,0
HINDCOPPER,DOWN_TREND,0,3,0,5,1,9
BALRAMCHIN,UP_TREND,3,0,5,0,8,2
ARCHIES,DOWN_TREND,1,2,2,3,6,4
RECLTD,DOWN_TREND,1,2,2,3,5,5
SNOWMAN,DOWN_TREND,2,1,4,1,9,1
SHK,UP_TREND,3,0,5,0,10,0
HDFC,UP_TREND,3,0,5,0,10,0
DENABANK,DOWN_TREND,2,1,2,3,5,5
PSB,UP_TREND,1,2,2,3,3,7
MAWANASUG,DOWN_TREND,0,3,0,5,0,10
STARPAPER,DOWN_TREND,2,1,4,1,9,1
ENGINERSIN,DOWN_TREND,0,3,0,5,4,6
HINDOILEXP,UP_TREND,2,1,2,3,3,7
WELENT,DOWN_TREND,1,2,2,3,5,5
HCC,UP_TREND,3,0,5,0,8,2
GMDCLTD,UP_TREND,2,1,2,3,2,8
VIVIMEDLAB,DOWN_TREND,0,3,0,5,0,10
THIRUSUGAR,UP_TREND,1,2,2,3,2,8
ZEELEARN,DOWN_TREND,2,1,4,1,9,1
MOREPENLAB,DOWN_TREND,0,3,0,5,0,10
AKSHOPTFBR,DOWN_TREND,2,1,4,1,8,2
GAL,DOWN_TREND,0,3,0,5,0,10
BLISSGVS,UP_TREND,3,0,5,0,10,0
INDHOTEL,DOWN_TREND,0,3,0,5,0,10
KOKUYOCMLN,UP_TREND,3,0,5,0,9,1
TFCILTD,UP_TREND,3,0,5,0,10,0
MADRASFERT,UP_TREND,3,0,5,0,10,0
BAJAJHIND,DOWN_TREND,0,3,0,5,0,10
JKTYRE,DOWN_TREND,2,1,4,1,9,1
IVC,DOWN_TREND,0,3,0,5,0,10
CELEBRITY,DOWN_TREND,2,1,3,2,8,2
SURANAIND,UP_TREND,3,0,5,0,10,0
PRAKASH,DOWN_TREND,0,3,0,5,0,10
SIMPLEXINF,UP_TREND,3,0,5,0,10,0
ALLCARGO,DOWN_TREND,1,2,2,3,4,6
PTC,UP_TREND,1,2,1,4,1,9
DLF,UP_TREND,1,2,2,3,2,8
VIDEOIND,UP_TREND,1,2,3,2,6,4
REFEX,UP_TREND,3,0,5,0,7,3
FORTIS,DOWN_TREND,0,3,0,5,0,10
SANOFI,UP_TREND,3,0,5,0,10,0
PTL,UP_TREND,3,0,5,0,10,0
DLINKINDIA,DOWN_TREND,0,3,2,3,4,6
IDFCBANK,DOWN_TREND,0,3,0,5,1,9
J&KBANK,UP_TREND,3,0,4,1,9,1
PRATIBHA,UP_TREND,1,2,1,4,1,9
ORIENTCEM,UP_TREND,2,1,2,3,4,6
