SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
AARTIDRUGS,WEEK_STOCK,NO_NEWS,607.27,615.73
AARTIIND,WEEK_STOCK,NO_NEWS,776.53,790.17
AARVEEDEN,WEEK_STOCK,NO_NEWS,73.97,75.83
ABAN,WEEK_STOCK,NO_NEWS,238.47,242.03
ABB,WEEK_STOCK,NEWS,1202.7,1216.6
ABBOTINDIA,WEEK_STOCK,NO_NEWS,4509.82,4542.48
ABFRL,WEEK_STOCK,NO_NEWS,157.67,160.73
ABIRLANUVO,WEEK_STOCK,NO_NEWS,1489.32,1518.18
ACC,WEEK_STOCK,NEWS,1438.95,1456.25
ACCELYA,WEEK_STOCK,NEWS,1505.52,1542.18
ACE,STRONG_STOCK,NO_NEWS,51.03,53.07
ADANIENT,STRONG_STOCK,NO_NEWS,93.28,95.82
ADANIPORTS,WEEK_STOCK,NEWS,297.77,302.83
ADANIPOWER,STRONG_STOCK,NEWS,35.85,37.55
ADANITRANS,STRONG_STOCK,NO_NEWS,61.85,62.75
ADFFOODS,WEEK_STOCK,NO_NEWS,146.88,149.02
ADHUNIK,WEEK_STOCK,NO_NEWS,7.57,7.83
ADLABS,STRONG_STOCK,NO_NEWS,74.98,84.12
ADORWELD,WEEK_STOCK,NO_NEWS,297.47,303.13
ADVANIHOTR,WEEK_STOCK,NO_NEWS,53.65,54.15
AEGISCHEM,STRONG_STOCK,NO_NEWS,195.3,201.3
AFL,WEEK_STOCK,NO_NEWS,63.77,66.03
AGARIND,STRONG_STOCK,NO_NEWS,409.67,418.73
AGCNET,STRONG_STOCK,NO_NEWS,89.15,90.85
AGRITECH,WEEK_STOCK,NO_NEWS,30.72,33.58
AHLEAST,STRONG_STOCK,NO_NEWS,218.78,223.32
AHLUCONT,STRONG_STOCK,NO_NEWS,296.38,302.92
AHLWEST,STRONG_STOCK,NO_NEWS,213.68,216.22
AIAENG,WEEK_STOCK,NO_NEWS,1475.28,1488.72
AIFL,STRONG_STOCK,NO_NEWS,415.65,423.65
AJANTPHARM,WEEK_STOCK,NO_NEWS,1705.12,1725.08
AJMERA,STRONG_STOCK,NO_NEWS,173.75,176.95
AKSHOPTFBR,WEEK_STOCK,NO_NEWS,22.73,23.07
AKZOINDIA,STRONG_STOCK,NO_NEWS,1473.47,1503.43
ALANKIT,WEEK_STOCK,NO_NEWS,28.32,29.08
ALBK,STRONG_STOCK,NEWS,69.55,72.35
ALCHEM,WEEK_STOCK,NO_NEWS,22,22.3
ALEMBICLTD,WEEK_STOCK,NO_NEWS,38.78,40.52
ALICON,WEEK_STOCK,NO_NEWS,371.72,375.58
ALKALI,STRONG_STOCK,NO_NEWS,74.87,79.23
ALKEM,STRONG_STOCK,NO_NEWS,1991.93,2053.17
ALKYLAMINE,STRONG_STOCK,NO_NEWS,361.35,369.35
ALLCARGO,WEEK_STOCK,NO_NEWS,162.9,166
ALLSEC,WEEK_STOCK,NO_NEWS,427.35,437.65
ALMONDZ,WEEK_STOCK,NO_NEWS,14.48,14.82
ALOKTEXT,STRONG_STOCK,NO_NEWS,3.37,3.43
ALPHAGEO,STRONG_STOCK,NO_NEWS,929.53,954.77
ALPSINDUS,WEEK_STOCK,NO_NEWS,7.37,7.53
AMARAJABAT,WEEK_STOCK,NO_NEWS,844.67,853.33
AMBIKCO,STRONG_STOCK,NO_NEWS,1160.5,1223.2
AMBUJACEM,WEEK_STOCK,NEWS,232.02,234.28
AMDIND,WEEK_STOCK,NO_NEWS,27.82,28.68
AMRUTANJAN,WEEK_STOCK,NO_NEWS,578.03,587.37
AMTEKAUTO,STRONG_STOCK,NEWS,34.9,37.1
AMTL,WEEK_STOCK,NO_NEWS,22.87,24.43
ANANTRAJ,WEEK_STOCK,NO_NEWS,45.75,46.45
ANDHRABANK,STRONG_STOCK,NEWS,53.75,55.95
ANDHRSUGAR,STRONG_STOCK,NO_NEWS,267.25,272.85
ANGIND,WEEK_STOCK,NO_NEWS,10.57,10.73
ANKITMETAL,WEEK_STOCK,NO_NEWS,1.85,1.95
ANSALAPI,WEEK_STOCK,NO_NEWS,15.02,15.48
ANSALHSG,WEEK_STOCK,NO_NEWS,22.8,23.5
APARINDS,STRONG_STOCK,NEWS,738.23,747.57
APCOTEXIND,WEEK_STOCK,NEWS,328.35,334.95
APLAPOLLO,STRONG_STOCK,NO_NEWS,1060.15,1079.75
APLLTD,WEEK_STOCK,NO_NEWS,578.33,588.27
APOLLOHOSP,WEEK_STOCK,NEWS,1316.55,1335.85
APOLLOTYRE,STRONG_STOCK,NO_NEWS,178.05,181.75
APTECHT,WEEK_STOCK,NEWS,231.47,235.13
ARCHIDPLY,WEEK_STOCK,NO_NEWS,69.97,72.23
ARCHIES,WEEK_STOCK,NO_NEWS,23.82,24.18
ARCOTECH,STRONG_STOCK,NO_NEWS,711.62,739.48
ARIES,WEEK_STOCK,NO_NEWS,162.13,170.37
AROGRANITE,WEEK_STOCK,NO_NEWS,75.3,76.7
ARROWTEX,STRONG_STOCK,NO_NEWS,44.83,45.47
ARSHIYA,STRONG_STOCK,NO_NEWS,55.7,59.8
ARSSINFRA,WEEK_STOCK,NO_NEWS,64.17,66.03
ARVIND,WEEK_STOCK,NO_NEWS,373.57,379.83
ASAHIINDIA,WEEK_STOCK,NO_NEWS,214.48,217.12
ASAHISONG,WEEK_STOCK,NO_NEWS,242.83,247.77
ASHAPURMIN,STRONG_STOCK,NO_NEWS,65.47,66.53
ASHIANA,STRONG_STOCK,NO_NEWS,171.65,177.65
ASHIMASYN,WEEK_STOCK,NO_NEWS,15.47,15.93
ASHOKA,WEEK_STOCK,NEWS,181.3,185.5
ASHOKLEY,WEEK_STOCK,NO_NEWS,91.65,93.35
ASIANHOTNR,WEEK_STOCK,NEWS,102.23,104.77
ASIANPAINT,WEEK_STOCK,NEWS,1012.08,1028.52
ASIANTILES,STRONG_STOCK,NO_NEWS,278.33,282.67
ASTEC,WEEK_STOCK,NO_NEWS,595.67,605.63
ASTRAL,STRONG_STOCK,NEWS,430.23,442.77
ASTRAMICRO,STRONG_STOCK,NO_NEWS,115.17,116.73
ASTRAZEN,WEEK_STOCK,NO_NEWS,910.85,920.75
ATFL,STRONG_STOCK,NO_NEWS,530.4,540.9
ATLANTA,WEEK_STOCK,NO_NEWS,85.45,87.15
ATUL,WEEK_STOCK,NO_NEWS,2213.45,2242.75
ATULAUTO,STRONG_STOCK,NO_NEWS,411.18,415.52
AURIONPRO,WEEK_STOCK,NEWS,118.72,120.78
AUROPHARMA,WEEK_STOCK,NEWS,672.23,684.17
AUSTRAL,STRONG_STOCK,NO_NEWS,0.28,0.32
AUTOAXLES,WEEK_STOCK,NEWS,636.2,643.7
AUTOIND,WEEK_STOCK,NO_NEWS,50.25,53.55
AUTOLITIND,WEEK_STOCK,NO_NEWS,51.17,52.73
AVANTIFEED,STRONG_STOCK,NO_NEWS,630.25,662.55
AVTNPL,STRONG_STOCK,NO_NEWS,36.53,37.27
AXISBANK,STRONG_STOCK,NEWS,521.32,529.28
AXISCADES,STRONG_STOCK,NO_NEWS,164,165.5
AXISGOLD,WEEK_STOCK,NO_NEWS,2608.33,2618.27
AYMSYNTEX,STRONG_STOCK,NO_NEWS,80.38,81.92
