SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
BAFNAPHARM,STRONG_STOCK,NO_NEWS,30.82,31.28
BAGFILMS,STRONG_STOCK,NO_NEWS,4.28,4.52
BAJAJCORP,WEEK_STOCK,NO_NEWS,366.25,370.65
BAJAJELEC,WEEK_STOCK,NEWS,260.37,265.33
BAJAJFINSV,STRONG_STOCK,NEWS,3695.02,3805.38
BAJAJHIND,WEEK_STOCK,NO_NEWS,14.48,14.72
BAJAJHLDNG,STRONG_STOCK,NO_NEWS,2012.63,2049.27
BAJFINANCE,WEEK_STOCK,NO_NEWS,1065.42,1087.08
BALAJITELE,WEEK_STOCK,NO_NEWS,87.72,88.88
BALAMINES,STRONG_STOCK,NO_NEWS,331.53,337.37
BALKRISIND,STRONG_STOCK,NO_NEWS,1147.78,1197.12
BALLARPUR,WEEK_STOCK,NEWS,15.82,16.08
BALMLAWRIE,WEEK_STOCK,NO_NEWS,210.77,213.33
BALPHARMA,WEEK_STOCK,NO_NEWS,90.18,91.62
BALRAMCHIN,STRONG_STOCK,NO_NEWS,149.02,152.08
BANARBEADS,WEEK_STOCK,NEWS,84.75,88.55
BANARISUG,STRONG_STOCK,NO_NEWS,2064.63,2077.97
BANCOINDIA,STRONG_STOCK,NO_NEWS,201.12,203.78
BANG,STRONG_STOCK,NO_NEWS,46.9,48.4
BANKBARODA,STRONG_STOCK,NEWS,166.77,168.63
BANKBEES,WEEK_STOCK,NO_NEWS,2100.99,2112.39
BANKINDIA,WEEK_STOCK,NO_NEWS,126.88,128.62
BANSWRAS,WEEK_STOCK,NO_NEWS,144.97,147.53
BASF,WEEK_STOCK,NO_NEWS,1157.57,1171.43
BASML,STRONG_STOCK,NO_NEWS,278.12,281.08
BATAINDIA,WEEK_STOCK,NO_NEWS,499.35,507.25
BAYERCROP,WEEK_STOCK,NO_NEWS,3906.45,3972.45
BBL,STRONG_STOCK,NO_NEWS,844.7,858
BBTC,STRONG_STOCK,NO_NEWS,641.98,666.52
BEARDSELL,WEEK_STOCK,NO_NEWS,355.72,378.48
BEDMUTHA,WEEK_STOCK,NO_NEWS,28.38,29.52
BEL,WEEK_STOCK,NO_NEWS,1496.1,1525
BEML,STRONG_STOCK,NO_NEWS,1280.28,1313.32
BEPL,WEEK_STOCK,NO_NEWS,24.42,24.88
BERGEPAINT,STRONG_STOCK,NO_NEWS,226.52,230.38
BFINVEST,STRONG_STOCK,NO_NEWS,157.28,163.02
BFUTILITIE,WEEK_STOCK,NO_NEWS,394.53,404.07
BGRENERGY,WEEK_STOCK,NO_NEWS,139.72,141.68
BHAGERIA,WEEK_STOCK,NO_NEWS,324.27,331.53
BHAGYNAGAR,WEEK_STOCK,NO_NEWS,22.27,22.93
BHARATFORG,STRONG_STOCK,NO_NEWS,1054.13,1075.47
BHARATGEAR,WEEK_STOCK,NO_NEWS,111.58,112.92
BHARATIDIL,STRONG_STOCK,NO_NEWS,14.23,14.57
BHARATRAS,STRONG_STOCK,NO_NEWS,2319.1,2399.1
BHARTIARTL,STRONG_STOCK,NO_NEWS,348.57,373.43
BHEL,WEEK_STOCK,NEWS,153.22,155.38
BHUSANSTL,WEEK_STOCK,NO_NEWS,56.05,57.45
BIL,WEEK_STOCK,NO_NEWS,461.9,471.5
BILENERGY,STRONG_STOCK,NO_NEWS,0.7,0.7
BILPOWER,WEEK_STOCK,NO_NEWS,1.05,1.05
BINANIIND,WEEK_STOCK,NO_NEWS,75.6,76.9
BINDALAGRO,WEEK_STOCK,NO_NEWS,26.03,26.67
BIOCON,STRONG_STOCK,NEWS,1105.42,1117.38
BIRLACORPN,STRONG_STOCK,NO_NEWS,688.8,696.8
BIRLAMONEY,WEEK_STOCK,NO_NEWS,29.28,29.92
BLBLIMITED,STRONG_STOCK,NO_NEWS,5.57,5.93
BLISSGVS,STRONG_STOCK,NO_NEWS,151.87,154.03
BLKASHYAP,STRONG_STOCK,NO_NEWS,22.72,23.38
BLUEBLENDS,STRONG_STOCK,NO_NEWS,49.13,51.37
BLUEDART,WEEK_STOCK,NO_NEWS,4259.75,4319.35
BLUEDART,WEEK_STOCK,NO_NEWS,4259.75,4319.35
BLUEDART,WEEK_STOCK,NO_NEWS,4259.75,4319.35
BLUEDART,WEEK_STOCK,NO_NEWS,4259.75,4319.35
BLUESTARCO,WEEK_STOCK,NEWS,554.25,562.25
BODALCHEM,WEEK_STOCK,NEWS,132.77,134.53
BOMDYEING,WEEK_STOCK,NEWS,58.18,59.42
BOSCHLTD,WEEK_STOCK,NO_NEWS,21917.88,22204.52
BPCL,STRONG_STOCK,NEWS,709.3,719.3
BPL,STRONG_STOCK,NO_NEWS,61.77,63.43
BRFL,WEEK_STOCK,NO_NEWS,157.75,161.15
BRIGADE,STRONG_STOCK,NO_NEWS,164.07,171.13
BRITANNIA,WEEK_STOCK,NEWS,3216.9,3260.5
BROOKS,WEEK_STOCK,NO_NEWS,144.08,148.72
BSELINFRA,STRONG_STOCK,NO_NEWS,4.03,4.17
BSL,WEEK_STOCK,NO_NEWS,75.22,77.08
BSLGOLDETF,STRONG_STOCK,NO_NEWS,2778,2788
BSLIMITED,WEEK_STOCK,NO_NEWS,1.8,1.9
BURNPUR,WEEK_STOCK,NEWS,12.78,13.02
BUTTERFLY,STRONG_STOCK,NO_NEWS,167.32,168.58
BVCL,WEEK_STOCK,NO_NEWS,27.43,28.07
BYKE,WEEK_STOCK,NO_NEWS,177.83,182.47
