SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
CADILAHC,WEEK_STOCK,NO_NEWS,429.57,438.83
CAIRN,WEEK_STOCK,NO_NEWS,286.27,291.73
CAMLINFINE,STRONG_STOCK,NO_NEWS,93.77,95.73
CANBK,WEEK_STOCK,NEWS,290.2,293.2
CANDC,STRONG_STOCK,NO_NEWS,23.32,25.08
CANFINHOME,WEEK_STOCK,NEWS,2001.67,2023.53
CANTABIL,WEEK_STOCK,NO_NEWS,65.33,66.27
CAPF,WEEK_STOCK,NO_NEWS,666.98,681.22
CAPLIPOINT,WEEK_STOCK,NO_NEWS,406.13,415.47
CARBORUNIV,WEEK_STOCK,NO_NEWS,256.35,260.75
CAREERP,WEEK_STOCK,NO_NEWS,115.33,116.67
CARERATING,STRONG_STOCK,NEWS,1359.95,1381.95
CASTEXTECH,STRONG_STOCK,NEWS,8.48,8.82
CASTROLIND,WEEK_STOCK,NO_NEWS,420.43,427.67
CCCL,WEEK_STOCK,NO_NEWS,3.72,3.78
CCHHL,WEEK_STOCK,NO_NEWS,12.6,13
CCL,STRONG_STOCK,NO_NEWS,324.88,330.02
CEATLTD,STRONG_STOCK,NO_NEWS,1117,1145.5
CEBBCO,WEEK_STOCK,NO_NEWS,13.52,13.78
CELEBRITY,WEEK_STOCK,NO_NEWS,10.97,11.53
CELESTIAL,STRONG_STOCK,NO_NEWS,22.62,23.28
CENTENKA,WEEK_STOCK,NO_NEWS,326.48,330.42
CENTEXT,WEEK_STOCK,NO_NEWS,5.48,5.92
CENTRALBK,STRONG_STOCK,NO_NEWS,84.35,85.55
CENTUM,WEEK_STOCK,NO_NEWS,599.57,612.83
CENTURYPLY,WEEK_STOCK,NO_NEWS,226.98,230.92
CENTURYTEX,STRONG_STOCK,NO_NEWS,914.73,937.27
CERA,STRONG_STOCK,NO_NEWS,2476.42,2515.68
CESC,WEEK_STOCK,NEWS,867.93,877.57
CGCL,STRONG_STOCK,NO_NEWS,51.03,53.07
CHAMBLFERT,WEEK_STOCK,NO_NEWS,83.17,85.63
CHEMFALKAL,STRONG_STOCK,NO_NEWS,280.48,283.92
CHENNPETRO,WEEK_STOCK,NEWS,376.48,387.02
CHOLAFIN,WEEK_STOCK,NO_NEWS,1013.45,1021.75
CHROMATIC,STRONG_STOCK,NO_NEWS,2.97,3.13
CIGNITITEC,WEEK_STOCK,NO_NEWS,389.67,399.43
CIMMCO,WEEK_STOCK,NO_NEWS,65.88,67.62
CINELINE,WEEK_STOCK,NO_NEWS,77.62,79.28
CIPLA,STRONG_STOCK,NEWS,586.53,591.97
CLNINDIA,WEEK_STOCK,NO_NEWS,684.55,693.15
COALINDIA,WEEK_STOCK,NEWS,326.18,330.52
COFFEEDAY,STRONG_STOCK,NEWS,228.53,233.37
COLPAL,WEEK_STOCK,NO_NEWS,894.25,905.45
COMPUSOFT,STRONG_STOCK,NO_NEWS,13.02,13.38
CONCOR,WEEK_STOCK,NEWS,1201.88,1227.82
CONSOFINVT,STRONG_STOCK,NO_NEWS,52.78,54.52
CORDSCABLE,WEEK_STOCK,NO_NEWS,77.22,78.78
COROMANDEL,WEEK_STOCK,NEWS,332.13,336.27
CORPBANK,WEEK_STOCK,NEWS,46.52,47.48
COSMOFILMS,STRONG_STOCK,NO_NEWS,356.88,360.62
COUNCODOS,STRONG_STOCK,NO_NEWS,3.8,3.9
COX&KINGS,STRONG_STOCK,NEWS,188.83,190.17
CPSEETF,WEEK_STOCK,NO_NEWS,28.31,28.47
CREATIVEYE,STRONG_STOCK,NO_NEWS,4.05,4.05
CREST,WEEK_STOCK,NO_NEWS,123.92,128.58
CRISIL,STRONG_STOCK,NO_NEWS,2025.27,2038.43
CROMPGREAV,STRONG_STOCK,NO_NEWS,66.27,67.23
CTE,WEEK_STOCK,NO_NEWS,96.03,98.17
CUB,WEEK_STOCK,NEWS,148.82,151.08
CUMMINSIND,WEEK_STOCK,NO_NEWS,885.55,896.85
CYBERMEDIA,STRONG_STOCK,NEWS,8.6,8.6
CYBERTECH,WEEK_STOCK,NEWS,80.8,82.3
CYIENT,WEEK_STOCK,NO_NEWS,472.72,477.38
