SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
DAAWAT,STRONG_STOCK,NO_NEWS,52.12,54.38
DABUR,WEEK_STOCK,NO_NEWS,269.38,272.02
DALMIABHA,WEEK_STOCK,NEWS,1882.82,1906.18
DALMIASUG,WEEK_STOCK,NEWS,167.65,171.65
DATAMATICS,WEEK_STOCK,NEWS,138.47,141.63
DBCORP,WEEK_STOCK,NO_NEWS,379.88,384.22
DBREALTY,WEEK_STOCK,NO_NEWS,41.1,41.7
DBSTOCKBRO,WEEK_STOCK,NO_NEWS,11.57,11.83
DCBBANK,STRONG_STOCK,NEWS,146.53,153.37
DCM,WEEK_STOCK,NO_NEWS,107.35,109.75
DCMSHRIRAM,STRONG_STOCK,NO_NEWS,284.25,288.35
DCW,STRONG_STOCK,NEWS,31.92,32.58
DECCANCE,STRONG_STOCK,NO_NEWS,1042.83,1058.17
DEEPAKFERT,WEEK_STOCK,NO_NEWS,250.38,253.72
DEEPAKNTR,WEEK_STOCK,NO_NEWS,104.07,106.63
DEEPIND,WEEK_STOCK,NO_NEWS,305.38,310.82
DELTACORP,WEEK_STOCK,NO_NEWS,135.07,138.93
DELTAMAGNT,WEEK_STOCK,NO_NEWS,37.53,37.57
DEN,STRONG_STOCK,NO_NEWS,77.35,81.95
DENABANK,WEEK_STOCK,NO_NEWS,37.87,38.43
DENORA,WEEK_STOCK,NO_NEWS,235,241.5
DHANBANK,STRONG_STOCK,NEWS,26.08,26.62
DHANUKA,STRONG_STOCK,NO_NEWS,759.48,777.42
DHARSUGAR,WEEK_STOCK,NO_NEWS,31.98,33.82
DHFL,STRONG_STOCK,NEWS,313.28,321.62
DHUNINV,STRONG_STOCK,NO_NEWS,166.92,169.28
DICIND,STRONG_STOCK,NO_NEWS,465.8,471.1
DISHMAN,WEEK_STOCK,NO_NEWS,226.97,230.63
DISHTV,WEEK_STOCK,NEWS,93,95.4
DIVISLAB,WEEK_STOCK,NO_NEWS,747.23,754.77
DLF,STRONG_STOCK,NO_NEWS,144.57,147.53
DLINKINDIA,WEEK_STOCK,NO_NEWS,124.25,126.45
DOLPHINOFF,WEEK_STOCK,NO_NEWS,124.38,126.22
DONEAR,STRONG_STOCK,NO_NEWS,67.02,69.98
DPL,WEEK_STOCK,NO_NEWS,75.83,76.77
DPSCLTD,WEEK_STOCK,NO_NEWS,42.7,44
DQE,WEEK_STOCK,NO_NEWS,20.33,20.87
DREDGECORP,WEEK_STOCK,NO_NEWS,452.78,457.42
DRREDDY,WEEK_STOCK,NEWS,2886.87,2919.53
DSKULKARNI,WEEK_STOCK,NO_NEWS,62.55,63.95
DTIL,WEEK_STOCK,NO_NEWS,308.72,317.98
DWARKESH,WEEK_STOCK,NO_NEWS,404,410.8
DYNAMATECH,STRONG_STOCK,NO_NEWS,2907.98,2931.32
