SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
EASTSILK,STRONG_STOCK,NO_NEWS,2.72,2.78
EASUNREYRL,STRONG_STOCK,NO_NEWS,24.62,25.28
ECEIND,STRONG_STOCK,NO_NEWS,228.25,238.25
ECLERX,WEEK_STOCK,NO_NEWS,1355.87,1374.43
EDELWEISS,STRONG_STOCK,NO_NEWS,125.6,130.6
EDL,WEEK_STOCK,NO_NEWS,53.95,54.85
EDUCOMP,STRONG_STOCK,NO_NEWS,10.98,11.12
EICHERMOT,WEEK_STOCK,NO_NEWS,24865.9,25274.7
EIDPARRY,WEEK_STOCK,NEWS,289.98,296.52
EIHAHOTELS,STRONG_STOCK,NO_NEWS,309.12,326.28
EIHOTEL,STRONG_STOCK,NO_NEWS,101.47,103.03
EKC,WEEK_STOCK,NO_NEWS,32.92,34.58
ELAND,WEEK_STOCK,NEWS,24.98,25.72
ELECON,WEEK_STOCK,NO_NEWS,53.8,54.6
ELECTCAST,WEEK_STOCK,NO_NEWS,27.3,27.8
ELECTHERM,WEEK_STOCK,NEWS,186.85,193.85
ELGIEQUIP,WEEK_STOCK,NO_NEWS,214.82,218.48
ELGIRUBCO,WEEK_STOCK,NO_NEWS,58.57,62.73
EMAMIINFRA,STRONG_STOCK,NO_NEWS,62.55,63.85
EMAMILTD,STRONG_STOCK,NO_NEWS,1069.63,1082.07
EMCO,WEEK_STOCK,NEWS,29.23,29.97
EMKAY,STRONG_STOCK,NO_NEWS,62.45,64.85
EMMBI,WEEK_STOCK,NO_NEWS,131.83,136.07
ENGINERSIN,WEEK_STOCK,NO_NEWS,149.45,152.35
ENIL,STRONG_STOCK,NO_NEWS,767.28,778.62
EON,WEEK_STOCK,NO_NEWS,63.5,64.1
EROSMEDIA,WEEK_STOCK,NEWS,214.55,218.55
ESABINDIA,STRONG_STOCK,NO_NEWS,578.08,589.92
ESCORTS,WEEK_STOCK,NO_NEWS,422.35,427.95
ESL,WEEK_STOCK,NO_NEWS,4.92,5.08
ESSARSHPNG,WEEK_STOCK,NO_NEWS,26.97,27.53
ESSELPACK,STRONG_STOCK,NO_NEWS,225.97,230.23
EUROCERA,STRONG_STOCK,NO_NEWS,5.85,6.15
EUROMULTI,STRONG_STOCK,NO_NEWS,1.9,1.9
EUROTEXIND,WEEK_STOCK,NO_NEWS,32.87,33.83
EVEREADY,WEEK_STOCK,NO_NEWS,250.22,260.08
EVERESTIND,STRONG_STOCK,NO_NEWS,186.9,189.3
EXCEL,STRONG_STOCK,NO_NEWS,39.05,40.25
EXCELCROP,STRONG_STOCK,NO_NEWS,1712,1758
EXCELINDUS,STRONG_STOCK,NEWS,361.22,365.48
EXIDEIND,WEEK_STOCK,NO_NEWS,211.5,214.6
FACT,WEEK_STOCK,NO_NEWS,36.53,37.37
