SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
FAGBEARING,STRONG_STOCK,NO_NEWS,4074.93,4136.87
FARMAXIND,STRONG_STOCK,NO_NEWS,0.08,0.12
FCL,WEEK_STOCK,NO_NEWS,34.6,35.8
FDC,STRONG_STOCK,NO_NEWS,210.47,212.93
FEDDERLOYD,WEEK_STOCK,NEWS,73.63,74.87
FEDERALBNK,WEEK_STOCK,NEWS,83.73,84.87
FIEMIND,WEEK_STOCK,NO_NEWS,972.08,992.42
FILATEX,WEEK_STOCK,NEWS,70.53,72.37
FINCABLES,STRONG_STOCK,NO_NEWS,438.57,443.53
FINPIPE,WEEK_STOCK,NEWS,527.37,535.03
FLEXITUFF,WEEK_STOCK,NO_NEWS,199.58,208.12
FLFL,WEEK_STOCK,NO_NEWS,183.92,188.58
FMGOETZE,WEEK_STOCK,NO_NEWS,491.97,498.23
FMNL,WEEK_STOCK,NO_NEWS,50.32,51.88
FORTIS,STRONG_STOCK,NEWS,185.45,192.15
FOSECOIND,STRONG_STOCK,NO_NEWS,1319.9,1345.2
FSL,WEEK_STOCK,NEWS,43.45,44.35
