SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
GABRIEL,WEEK_STOCK,NO_NEWS,113.95,114.85
GAEL,WEEK_STOCK,NO_NEWS,113.38,115.72
GAIL,WEEK_STOCK,NEWS,513.23,524.57
GAL,WEEK_STOCK,NO_NEWS,13.5,14.3
GALLANTT,WEEK_STOCK,NO_NEWS,43.42,44.98
GALLISPAT,STRONG_STOCK,NO_NEWS,484.43,485.77
GAMMNINFRA,STRONG_STOCK,NEWS,3.9,4
GAMMONIND,WEEK_STOCK,NEWS,12.58,12.82
GANDHITUBE,STRONG_STOCK,NO_NEWS,319.23,336.77
GANECOS,WEEK_STOCK,NO_NEWS,211.52,216.68
GANESHHOUC,WEEK_STOCK,NO_NEWS,77.75,79.35
GARDENSILK,STRONG_STOCK,NO_NEWS,29.72,31.18
GARWALLROP,STRONG_STOCK,NO_NEWS,637.85,656.45
GATI,WEEK_STOCK,NEWS,122.9,123.9
GAYAPROJ,WEEK_STOCK,NO_NEWS,138.32,141.68
GDL,STRONG_STOCK,NEWS,249,252.5
GEECEE,STRONG_STOCK,NO_NEWS,127.5,130
GEMINI,STRONG_STOCK,NO_NEWS,1.77,1.83
GENESYS,WEEK_STOCK,NO_NEWS,168.23,174.57
GENUSPAPER,WEEK_STOCK,NO_NEWS,4.9,5
GENUSPOWER,WEEK_STOCK,NO_NEWS,39.98,40.92
GEOJITBNPP,WEEK_STOCK,NO_NEWS,41.63,42.37
GEOMETRIC,STRONG_STOCK,NO_NEWS,255.15,259.35
GESHIP,WEEK_STOCK,NO_NEWS,369.97,372.63
GHCL,WEEK_STOCK,NO_NEWS,264.12,268.58
GICHSGFIN,STRONG_STOCK,NO_NEWS,312.17,318.23
GILLANDERS,STRONG_STOCK,NO_NEWS,62.48,63.12
GILLETTE,STRONG_STOCK,NO_NEWS,4079.92,4113.18
GINNIFILA,STRONG_STOCK,NEWS,26.98,27.82
GIPCL,WEEK_STOCK,NO_NEWS,105.58,107.52
GITANJALI,STRONG_STOCK,NO_NEWS,64.87,65.63
GKWLIMITED,STRONG_STOCK,NO_NEWS,417.42,430.58
GLAXO,WEEK_STOCK,NO_NEWS,2665.08,2686.52
GLENMARK,WEEK_STOCK,NEWS,934.92,950.78
GLOBALVECT,WEEK_STOCK,NO_NEWS,103.38,106.32
GLOBOFFS,WEEK_STOCK,NO_NEWS,57.18,58.42
GLOBUSSPR,WEEK_STOCK,NO_NEWS,79.63,80.97
GMBREW,WEEK_STOCK,NO_NEWS,482.47,491.13
GMDCLTD,STRONG_STOCK,NO_NEWS,114.8,117.1
GMRINFRA,WEEK_STOCK,NEWS,14.83,15.07
GNFC,WEEK_STOCK,NO_NEWS,266.1,271.1
GOACARBON,STRONG_STOCK,NO_NEWS,102.75,105.35
GOCLCORP,STRONG_STOCK,NO_NEWS,332.28,344.32
GODFRYPHLP,STRONG_STOCK,NO_NEWS,1026.68,1037.82
GODREJCP,WEEK_STOCK,NEWS,1694.75,1728.05
GODREJIND,WEEK_STOCK,NO_NEWS,501.47,509.23
GODREJPROP,STRONG_STOCK,NEWS,363.18,370.52
GOKEX,STRONG_STOCK,NO_NEWS,58.73,60.67
GOKUL,WEEK_STOCK,NO_NEWS,19.63,20.37
GOKULAGRO,WEEK_STOCK,NO_NEWS,19.63,20.37
GOLDBEES,WEEK_STOCK,NO_NEWS,2680.2,2695.2
GOLDENTOBC,STRONG_STOCK,NO_NEWS,67.38,69.42
GOLDIAM,STRONG_STOCK,NO_NEWS,71,72.7
