SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
HANUNG,WEEK_STOCK,NO_NEWS,4.83,4.97
HARITASEAT,STRONG_STOCK,NO_NEWS,698.12,707.38
HARRMALAYA,WEEK_STOCK,NO_NEWS,88.82,90.58
HATHWAY,WEEK_STOCK,NO_NEWS,35.88,36.72
HATSUN,WEEK_STOCK,NO_NEWS,447.23,452.07
HAVELLS,WEEK_STOCK,NEWS,408.5,416.6
HBLPOWER,WEEK_STOCK,NO_NEWS,43.22,43.98
HBSTOCK,WEEK_STOCK,NO_NEWS,17.1,17.5
HCC,WEEK_STOCK,NO_NEWS,40.15,40.75
HCG,STRONG_STOCK,NO_NEWS,236.43,239.37
HCLTECH,STRONG_STOCK,NEWS,828.87,839.53
HDFC,WEEK_STOCK,NO_NEWS,1385.13,1403.07
HDFC,WEEK_STOCK,NO_NEWS,1385.13,1403.07
HDFCBANK,WEEK_STOCK,NO_NEWS,1387.72,1410.58
HDFCBANK,WEEK_STOCK,NO_NEWS,1387.72,1410.58
HDFCMFGETF,WEEK_STOCK,NO_NEWS,2714.18,2741.32
HDFCNIFETF,STRONG_STOCK,NO_NEWS,900.97,903.43
HDIL,STRONG_STOCK,NO_NEWS,65,66.6
HEG,STRONG_STOCK,NO_NEWS,189.85,193.45
HEIDELBERG,WEEK_STOCK,NO_NEWS,115.83,118.57
HERCULES,WEEK_STOCK,NO_NEWS,150.48,152.32
HERITGFOOD,WEEK_STOCK,NO_NEWS,1098.68,1122.82
HEROMOTOCO,STRONG_STOCK,NO_NEWS,3149,3183.4
HESTERBIO,STRONG_STOCK,NO_NEWS,764.52,768.98
HEXATRADEX,WEEK_STOCK,NO_NEWS,18.57,19.03
HEXAWARE,STRONG_STOCK,NO_NEWS,218.13,220.57
HFCL,STRONG_STOCK,NO_NEWS,13.48,13.92
HGS,STRONG_STOCK,NEWS,600.63,609.97
HIKAL,WEEK_STOCK,NO_NEWS,209.72,215.18
HIL,STRONG_STOCK,NO_NEWS,630.93,639.17
HILTON,STRONG_STOCK,NO_NEWS,17.72,18.38
HIMATSEIDE,WEEK_STOCK,NO_NEWS,356.12,361.58
HINDALCO,STRONG_STOCK,NEWS,178.65,181.45
HINDCOMPOS,STRONG_STOCK,NO_NEWS,1502.03,1555.47
HINDCOPPER,WEEK_STOCK,NO_NEWS,69,70.2
HINDDORROL,WEEK_STOCK,NO_NEWS,11.25,11.45
HINDMOTORS,STRONG_STOCK,NEWS,10.77,11.23
HINDNATGLS,WEEK_STOCK,NO_NEWS,118.7,123.3
HINDOILEXP,WEEK_STOCK,NO_NEWS,76.53,77.77
HINDPETRO,STRONG_STOCK,NO_NEWS,547.3,560.3
HINDUJAFO,WEEK_STOCK,NO_NEWS,35.02,36.08
HINDUJAVEN,STRONG_STOCK,NO_NEWS,504.18,512.22
HINDUNILVR,WEEK_STOCK,NO_NEWS,858.9,869.4
HINDZINC,WEEK_STOCK,NO_NEWS,299.45,305.25
HIRECT,WEEK_STOCK,NO_NEWS,77.95,80.55
HITECHGEAR,STRONG_STOCK,NO_NEWS,296.97,304.13
HITECHPLAS,WEEK_STOCK,NO_NEWS,154,156.4
HMVL,STRONG_STOCK,NO_NEWS,267.15,270.95
HNGSNGBEES,STRONG_STOCK,NO_NEWS,2288.33,2311.67
HONAUT,STRONG_STOCK,NO_NEWS,9927.67,9983.53
HONDAPOWER,STRONG_STOCK,NO_NEWS,1365.8,1383.9
HOTELEELA,WEEK_STOCK,NO_NEWS,16.23,16.57
HOVS,STRONG_STOCK,NEWS,180.17,187.93
HSIL,STRONG_STOCK,NO_NEWS,303.12,307.78
HTMEDIA,WEEK_STOCK,NO_NEWS,82.52,84.18
HUBTOWN,STRONG_STOCK,NO_NEWS,92.27,93.53
