SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
IBREALEST,STRONG_STOCK,NO_NEWS,76.08,77.22
IBULHSGFIN,WEEK_STOCK,NEWS,865.05,880.25
IBVENTURES,STRONG_STOCK,NO_NEWS,35.72,38.18
IBWSL,STRONG_STOCK,NEWS,23.02,25.18
ICICIBANK,WEEK_STOCK,NEWS,283.92,288.38
ICIL,WEEK_STOCK,NO_NEWS,160.58,163.12
ICRA,STRONG_STOCK,NO_NEWS,4101.72,4154.38
ICSA,STRONG_STOCK,NO_NEWS,3.08,3.12
IDBI,WEEK_STOCK,NO_NEWS,81.17,82.23
IDBIGOLD,STRONG_STOCK,NO_NEWS,2652.18,2687.52
IDEA,STRONG_STOCK,NEWS,110.17,115.03
IDFC,WEEK_STOCK,NEWS,52.87,53.73
IDFCBANK,WEEK_STOCK,NEWS,62.8,63.4
IDFCBANK,WEEK_STOCK,NEWS,62.8,63.4
IDFCBANK,WEEK_STOCK,NEWS,62.8,63.4
IDFCBANK,WEEK_STOCK,NEWS,62.8,63.4
IDFCBANK,WEEK_STOCK,NEWS,62.8,63.4
IFBAGRO,WEEK_STOCK,NO_NEWS,450.92,462.78
IFBIND,WEEK_STOCK,NO_NEWS,634.48,648.42
IFCI,STRONG_STOCK,NEWS,29.07,29.63
IFCI,STRONG_STOCK,NEWS,29.07,29.63
IFCI,STRONG_STOCK,NEWS,29.07,29.63
IFCI,STRONG_STOCK,NEWS,29.07,29.63
IFCI,STRONG_STOCK,NEWS,29.07,29.63
IFCI,STRONG_STOCK,NEWS,29.07,29.63
IFCI,STRONG_STOCK,NEWS,29.07,29.63
IFGLREFRAC,STRONG_STOCK,NO_NEWS,207.58,212.92
IGARASHI,STRONG_STOCK,NO_NEWS,743.98,766.42
IGL,WEEK_STOCK,NEWS,1032.7,1043.3
IGPL,STRONG_STOCK,NO_NEWS,313.35,320.05
IIFL,WEEK_STOCK,NO_NEWS,370.98,377.12
IITL,STRONG_STOCK,NO_NEWS,72.37,75.63
IL&FSENGG,WEEK_STOCK,NO_NEWS,61.18,62.42
IL&FSTRANS,WEEK_STOCK,NEWS,99.87,103.13
IMFA,WEEK_STOCK,NEWS,622.95,640.95
IMPAL,STRONG_STOCK,NO_NEWS,771.12,788.28
IMPEXFERRO,WEEK_STOCK,NO_NEWS,2.15,2.15
INDBANK,STRONG_STOCK,NO_NEWS,13.17,13.53
INDHOTEL,WEEK_STOCK,NEWS,121.48,123.32
INDIACEM,WEEK_STOCK,NEWS,166.15,168.75
INDIAGLYCO,WEEK_STOCK,NO_NEWS,163.38,166.22
INDIANB,STRONG_STOCK,NEWS,287.4,290.8
INDIANCARD,WEEK_STOCK,NO_NEWS,198.83,201.17
INDIANHUME,STRONG_STOCK,NO_NEWS,402.87,409.33
INDIGO,WEEK_STOCK,NO_NEWS,840.38,849.32
INDLMETER,STRONG_STOCK,NO_NEWS,90.72,92.68
INDNIPPON,STRONG_STOCK,NO_NEWS,539.18,551.82
INDOCO,STRONG_STOCK,NO_NEWS,268.12,271.48
INDORAMA,WEEK_STOCK,NO_NEWS,31.52,32.68
INDOSOLAR,STRONG_STOCK,NO_NEWS,7.32,7.48
INDOTECH,STRONG_STOCK,NO_NEWS,209.7,212.7
INDOTHAI,WEEK_STOCK,NO_NEWS,22.68,23.52
INDRAMEDCO,WEEK_STOCK,NO_NEWS,54.92,55.38
INDSWFTLAB,WEEK_STOCK,NO_NEWS,36.72,37.38
INDSWFTLTD,STRONG_STOCK,NO_NEWS,5.62,5.78
INDTERRAIN,STRONG_STOCK,NO_NEWS,164.63,169.17
INDUSINDBK,STRONG_STOCK,NO_NEWS,1320.23,1332.87
INFINITE,STRONG_STOCK,NO_NEWS,244.03,248.27
INFOMEDIA,WEEK_STOCK,NO_NEWS,5.45,5.65
INFRABEES,STRONG_STOCK,NO_NEWS,302.6,305.6
INFRATEL,WEEK_STOCK,NEWS,298.23,303.27
INFY,STRONG_STOCK,NEWS,981.27,999.03
INFY,STRONG_STOCK,NEWS,981.27,999.03
INGERRAND,STRONG_STOCK,NO_NEWS,697.03,706.97
INOXLEISUR,STRONG_STOCK,NEWS,235.92,239.78
INOXWIND,WEEK_STOCK,NO_NEWS,178.55,181.05
INSECTICID,STRONG_STOCK,NO_NEWS,564.43,576.67
INTELLECT,STRONG_STOCK,NEWS,110.82,114.38
INVENTURE,WEEK_STOCK,NO_NEWS,16.92,17.48
IOB,STRONG_STOCK,NEWS,26.73,27.07
IOC,WEEK_STOCK,NEWS,387.13,392.97
IOLCP,WEEK_STOCK,NO_NEWS,93.05,94.95
IPAPPM,WEEK_STOCK,NEWS,323.37,328.03
IPCALAB,WEEK_STOCK,NO_NEWS,538.23,543.57
IRB,WEEK_STOCK,NEWS,229.95,233.35
ISFT,WEEK_STOCK,NO_NEWS,366.13,373.47
ISMTLTD,WEEK_STOCK,NO_NEWS,13.48,14.22
ITC,STRONG_STOCK,NEWS,261.25,265.65
ITDCEM,STRONG_STOCK,NEWS,146.47,153.53
ITI,WEEK_STOCK,NEWS,41.9,42.9
IVC,WEEK_STOCK,NO_NEWS,13.97,14.13
IVP,WEEK_STOCK,NO_NEWS,122.8,125.3
IVRCLINFRA,STRONG_STOCK,NO_NEWS,5.43,5.57
IZMO,WEEK_STOCK,NO_NEWS,48.43,49.77
