SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
KABRAEXTRU,WEEK_STOCK,NO_NEWS,115.08,116.62
KAJARIACER,WEEK_STOCK,NO_NEWS,566.55,574.35
KAKATCEM,WEEK_STOCK,NO_NEWS,339.37,344.63
KALPATPOWR,STRONG_STOCK,NEWS,280.57,285.83
KAMATHOTEL,WEEK_STOCK,NEWS,36.72,37.98
KAMDHENU,WEEK_STOCK,NO_NEWS,90.38,92.32
KANANIIND,STRONG_STOCK,NO_NEWS,13.78,14.32
KANORICHEM,WEEK_STOCK,NO_NEWS,69.92,70.78
KANSAINER,STRONG_STOCK,NO_NEWS,360.07,367.93
KARMAENG,WEEK_STOCK,NO_NEWS,44.53,46.17
KARURVYSYA,STRONG_STOCK,NO_NEWS,95.05,97.95
KAUSHALYA,STRONG_STOCK,NO_NEWS,4.72,4.78
KAYA,WEEK_STOCK,NO_NEWS,751.78,770.32
KCP,WEEK_STOCK,NO_NEWS,106.83,108.57
KCPSUGIND,STRONG_STOCK,NO_NEWS,38.75,39.95
KDDL,STRONG_STOCK,NO_NEWS,184.55,187.05
KEC,WEEK_STOCK,NO_NEWS,164.67,168.43
KECL,WEEK_STOCK,NO_NEWS,39.72,40.58
KEI,WEEK_STOCK,NO_NEWS,170.25,174.15
KELLTONTEC,STRONG_STOCK,NO_NEWS,139,144
KESARENT,STRONG_STOCK,NO_NEWS,52.42,57.28
KESORAMIND,WEEK_STOCK,NO_NEWS,137.63,140.07
KGL,WEEK_STOCK,NO_NEWS,1.43,1.47
KHAITANELE,WEEK_STOCK,NO_NEWS,36.82,39.08
KICL,WEEK_STOCK,NO_NEWS,1503.53,1518.07
KIRIINDUS,STRONG_STOCK,NO_NEWS,299.55,305.15
KIRLOSBROS,WEEK_STOCK,NO_NEWS,230.93,240.07
KIRLOSENG,STRONG_STOCK,NEWS,347.28,351.92
KIRLOSIND,WEEK_STOCK,NO_NEWS,911.27,927.93
KITEX,WEEK_STOCK,NO_NEWS,427.92,430.78
KKCL,WEEK_STOCK,NO_NEWS,1726.63,1734.17
KMSUGAR,STRONG_STOCK,NO_NEWS,28.3,29.2
KNRCON,WEEK_STOCK,NO_NEWS,175.07,180.63
KOHINOOR,WEEK_STOCK,NO_NEWS,79.65,82.45
KOKUYOCMLN,STRONG_STOCK,NO_NEWS,80.92,82.48
KOLTEPATIL,WEEK_STOCK,NO_NEWS,100.75,102.75
KOPRAN,WEEK_STOCK,NO_NEWS,66.02,67.58
KOTAKBANK,STRONG_STOCK,NEWS,788.55,803.15
KOTAKBKETF,WEEK_STOCK,NO_NEWS,210.01,211.21
KOTAKGOLD,WEEK_STOCK,NO_NEWS,261.03,262.37
KOTAKNIFTY,WEEK_STOCK,NO_NEWS,902.71,905.89
KOTAKNV20,STRONG_STOCK,NO_NEWS,38.37,38.63
KOTAKPSUBK,WEEK_STOCK,NO_NEWS,337.23,340.23
KOTARISUG,WEEK_STOCK,NO_NEWS,14.38,14.72
KOTHARIPET,STRONG_STOCK,NO_NEWS,22.25,22.45
KOTHARIPRO,WEEK_STOCK,NO_NEWS,179.92,183.88
KPIT,STRONG_STOCK,NO_NEWS,131.03,135.87
KPRMILL,STRONG_STOCK,NO_NEWS,572.47,578.43
KRBL,STRONG_STOCK,NEWS,367.5,372.5
KRIDHANINF,STRONG_STOCK,NO_NEWS,53.6,55
KSBPUMPS,STRONG_STOCK,NO_NEWS,618.93,629.27
KSCL,WEEK_STOCK,NO_NEWS,456.03,463.57
KSK,WEEK_STOCK,NO_NEWS,13.65,14.05
KSL,WEEK_STOCK,NO_NEWS,345.77,353.03
KTIL,WEEK_STOCK,NO_NEWS,202.77,206.53
KTKBANK,STRONG_STOCK,NEWS,126.68,128.72
KWALITY,STRONG_STOCK,NO_NEWS,145.27,147.53
