SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
L&TFH,WEEK_STOCK,NO_NEWS,116.12,117.98
LAKPRE,STRONG_STOCK,NEWS,37.65,38.55
LAKSHMIEFL,WEEK_STOCK,NO_NEWS,70.25,71.75
LAKSHVILAS,STRONG_STOCK,NEWS,151.75,155.95
LALPATHLAB,WEEK_STOCK,NO_NEWS,980.43,991.07
LAMBODHARA,WEEK_STOCK,NO_NEWS,79.37,81.23
LAOPALA,STRONG_STOCK,NEWS,474.07,482.33
LAXMIMACH,WEEK_STOCK,NO_NEWS,3662.62,3687.28
LGBBROSLTD,WEEK_STOCK,NO_NEWS,570.5,580
LGBFORGE,WEEK_STOCK,NO_NEWS,6.3,6.6
LIBERTSHOE,WEEK_STOCK,NO_NEWS,166.58,168.22
LICHSGFIN,STRONG_STOCK,NO_NEWS,557.25,561.75
LICNETFGSC,STRONG_STOCK,NO_NEWS,16.8,16.8
LINCOLN,STRONG_STOCK,NO_NEWS,190.9,194.1
LINCPEN,WEEK_STOCK,NO_NEWS,248.47,254.43
LINDEINDIA,STRONG_STOCK,NO_NEWS,368.83,373.57
LIQUIDBEES,STRONG_STOCK,NO_NEWS,999.95,1000.03
LITL,WEEK_STOCK,NO_NEWS,3.8,3.9
LLOYDELENG,WEEK_STOCK,NEWS,262.55,268.75
LML,WEEK_STOCK,NO_NEWS,12.63,12.77
LOKESHMACH,WEEK_STOCK,NO_NEWS,79.85,83.15
LOTUSEYE,WEEK_STOCK,NO_NEWS,27.43,27.77
LOVABLE,WEEK_STOCK,NO_NEWS,234.1,237.2
LPDC,WEEK_STOCK,NO_NEWS,3.43,3.57
LT,STRONG_STOCK,NO_NEWS,1464.35,1489.55
LUMAXIND,STRONG_STOCK,NO_NEWS,1184.02,1221.78
LUMAXTECH,STRONG_STOCK,NO_NEWS,426.27,434.53
LUPIN,WEEK_STOCK,NO_NEWS,1445.87,1459.73
LUXIND,WEEK_STOCK,NO_NEWS,671.35,688.65
LYCOS,STRONG_STOCK,NO_NEWS,7.18,7.42
LYKALABS,WEEK_STOCK,NO_NEWS,58.52,59.58
LYPSAGEMS,WEEK_STOCK,NO_NEWS,67.38,68.42
