SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
M&M,WEEK_STOCK,NO_NEWS,1304.2,1318.2
M&MFIN,WEEK_STOCK,NO_NEWS,290.58,294.22
M100,STRONG_STOCK,NO_NEWS,16.81,17.07
M50,STRONG_STOCK,NO_NEWS,84.42,85.58
MADHAV,WEEK_STOCK,NO_NEWS,61.12,61.78
MADHUCON,WEEK_STOCK,NO_NEWS,44.98,46.12
MADRASFERT,WEEK_STOCK,NO_NEWS,15.8,16.4
MAGMA,WEEK_STOCK,NO_NEWS,96.93,98.97
MAGNUM,WEEK_STOCK,NO_NEWS,3.98,4.12
MAHABANK,WEEK_STOCK,NEWS,34.38,35.32
MAHINDCIE,WEEK_STOCK,NEWS,202.38,208.32
MAHLIFE,STRONG_STOCK,NEWS,345,347
MAHSCOOTER,WEEK_STOCK,NO_NEWS,1692.58,1709.22
MAHSEAMLES,STRONG_STOCK,NEWS,303.3,320.8
MAITHANALL,WEEK_STOCK,NO_NEWS,436.42,441.08
MAJESCO,STRONG_STOCK,NO_NEWS,343.82,351.08
MALUPAPER,WEEK_STOCK,NO_NEWS,25.85,27.35
MANAKCOAT,WEEK_STOCK,NO_NEWS,8.57,9.23
MANAKSIA,STRONG_STOCK,NO_NEWS,66.17,69.73
MANAKSTEEL,WEEK_STOCK,NO_NEWS,12.3,12.6
MANALIPETC,STRONG_STOCK,NO_NEWS,34.57,34.83
MANAPPURAM,WEEK_STOCK,NO_NEWS,98.5,99.7
MANAPPURAM,WEEK_STOCK,NO_NEWS,98.5,99.7
MANGALAM,WEEK_STOCK,NO_NEWS,153.77,157.43
MANGCHEFER,WEEK_STOCK,NO_NEWS,49.7,50.9
MANGLMCEM,STRONG_STOCK,NO_NEWS,287.2,297.1
MANGTIMBER,WEEK_STOCK,NO_NEWS,30.03,30.87
MANINDS,WEEK_STOCK,NO_NEWS,47.5,49
MANINFRA,STRONG_STOCK,NEWS,38.47,40.03
MANPASAND,WEEK_STOCK,NEWS,691.58,701.62
MANUGRAPH,STRONG_STOCK,NO_NEWS,46.43,51.07
