SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
N100,WEEK_STOCK,NO_NEWS,422.27,424.61
NAGAROIL,STRONG_STOCK,NO_NEWS,4.42,4.78
NAGREEKEXP,WEEK_STOCK,NO_NEWS,32.67,33.23
NAHARCAP,STRONG_STOCK,NO_NEWS,101.73,102.67
NAHARINDUS,WEEK_STOCK,NO_NEWS,116.62,118.98
NAHARPOLY,WEEK_STOCK,NO_NEWS,58.4,60.4
NAHARSPING,STRONG_STOCK,NO_NEWS,129.72,132.08
NAKODA,STRONG_STOCK,NO_NEWS,0.38,0.42
NATCOPHARM,STRONG_STOCK,NO_NEWS,758.97,791.63
NATHBIOGEN,WEEK_STOCK,NO_NEWS,155.62,160.58
NATIONALUM,STRONG_STOCK,NEWS,63.97,65.43
NAUKRI,STRONG_STOCK,NEWS,831.68,846.92
NAVINFLUOR,WEEK_STOCK,NO_NEWS,2536.33,2587.47
NAVKARCORP,WEEK_STOCK,NO_NEWS,160.3,162.9
NAVNETEDUL,STRONG_STOCK,NO_NEWS,140.88,144.12
NBCC,WEEK_STOCK,NO_NEWS,173.47,175.93
NBVENTURES,WEEK_STOCK,NO_NEWS,112,112.9
NCC,WEEK_STOCK,NO_NEWS,82.13,83.77
NCLIND,STRONG_STOCK,NEWS,151.92,157.98
NDL,STRONG_STOCK,NO_NEWS,117.6,118.6
NDTV,WEEK_STOCK,NO_NEWS,73.62,74.78
NECLIFE,WEEK_STOCK,NO_NEWS,36.92,37.48
NELCAST,WEEK_STOCK,NO_NEWS,54.35,55.15
NELCO,STRONG_STOCK,NO_NEWS,79.43,81.27
NESCO,WEEK_STOCK,NO_NEWS,2230.05,2258.05
NESTLEIND,WEEK_STOCK,NEWS,6361.67,6433.93
NET4,STRONG_STOCK,NO_NEWS,1.5,1.5
NETWORK18,WEEK_STOCK,NO_NEWS,37.93,38.77
NEULANDLAB,STRONG_STOCK,NEWS,898.52,908.38
NEXTMEDIA,STRONG_STOCK,NEWS,22.72,24.28
NFL,WEEK_STOCK,NO_NEWS,71.97,74.03
NH,WEEK_STOCK,NO_NEWS,321.77,324.93
NHPC,WEEK_STOCK,NO_NEWS,30.1,30.5
NIBL,WEEK_STOCK,NO_NEWS,34.87,35.33
NIFTYBEES,STRONG_STOCK,NO_NEWS,907.71,911.41
NIITLTD,STRONG_STOCK,NO_NEWS,76.92,78.08
NIITTECH,STRONG_STOCK,NO_NEWS,414.97,420.43
NILAINFRA,STRONG_STOCK,NO_NEWS,16.17,16.93
NILKAMAL,STRONG_STOCK,NO_NEWS,1705.43,1808.37
NIPPOBATRY,STRONG_STOCK,NO_NEWS,908.9,923
NITCO,WEEK_STOCK,NO_NEWS,58.85,61.35
NITESHEST,STRONG_STOCK,NEWS,7.7,8
NITINFIRE,WEEK_STOCK,NO_NEWS,27.7,28.5
NITINSPIN,WEEK_STOCK,NEWS,96.3,99.4
NMDC,WEEK_STOCK,NEWS,141.08,143.02
NOCIL,STRONG_STOCK,NO_NEWS,81.95,83.05
NOIDATOLL,WEEK_STOCK,NO_NEWS,12.75,12.95
NRBBEARING,WEEK_STOCK,NO_NEWS,109.18,110.32
NSIL,STRONG_STOCK,NO_NEWS,768.95,802.95
NTPC,WEEK_STOCK,NEWS,165.58,167.82
NTPC,WEEK_STOCK,NEWS,165.58,167.82
NTPC,WEEK_STOCK,NEWS,165.58,167.82
NTPC,WEEK_STOCK,NEWS,165.58,167.82
NTPC,WEEK_STOCK,NEWS,165.58,167.82
NTPC,WEEK_STOCK,NEWS,165.58,167.82
NUCLEUS,WEEK_STOCK,NO_NEWS,272.15,279.05
NUTEK,STRONG_STOCK,NO_NEWS,0.67,0.73
