SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
OBEROIRLTY,WEEK_STOCK,NO_NEWS,325.87,333.13
OCCL,STRONG_STOCK,NO_NEWS,846.38,867.72
OCL,STRONG_STOCK,NO_NEWS,881.28,907.02
OFSS,STRONG_STOCK,NO_NEWS,3584.3,3698.6
OIL,STRONG_STOCK,NO_NEWS,324.73,328.27
OMAXAUTO,WEEK_STOCK,NO_NEWS,72.5,73.2
OMAXE,STRONG_STOCK,NO_NEWS,167.13,168.07
OMKARCHEM,WEEK_STOCK,NO_NEWS,159.97,161.23
OMMETALS,STRONG_STOCK,NO_NEWS,42.3,43.2
ONELIFECAP,WEEK_STOCK,NO_NEWS,24.02,24.78
ONGC,STRONG_STOCK,NEWS,194.52,196.68
ONMOBILE,STRONG_STOCK,NO_NEWS,82.57,83.83
ONWARDTEC,WEEK_STOCK,NO_NEWS,68.52,69.68
OPTOCIRCUI,STRONG_STOCK,NO_NEWS,9.8,9.9
ORBTEXP,WEEK_STOCK,NO_NEWS,153.12,161.58
ORCHIDPHAR,WEEK_STOCK,NEWS,28.35,29.25
ORICONENT,STRONG_STOCK,NO_NEWS,52.13,53.07
ORIENTABRA,WEEK_STOCK,NO_NEWS,35.13,35.77
ORIENTALTL,STRONG_STOCK,NO_NEWS,10,10
ORIENTBANK,STRONG_STOCK,NEWS,123.62,124.98
ORIENTBELL,WEEK_STOCK,NO_NEWS,166.67,170.93
ORIENTCEM,STRONG_STOCK,NO_NEWS,143.65,147.65
ORIENTHOT,WEEK_STOCK,NO_NEWS,26.92,27.58
ORIENTLTD,WEEK_STOCK,NO_NEWS,60.18,61.82
ORIENTPPR,WEEK_STOCK,NO_NEWS,73.98,75.12
ORIENTREF,STRONG_STOCK,NO_NEWS,134.92,137.68
ORISSAMINE,WEEK_STOCK,NO_NEWS,2179.28,2204.42
ORTEL,STRONG_STOCK,NO_NEWS,112.55,115.55
ORTINLABSS,WEEK_STOCK,NO_NEWS,20.65,21.25
OUDHSUG,STRONG_STOCK,NO_NEWS,139.33,142.97
