SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
PAEL,STRONG_STOCK,NO_NEWS,12.92,13.98
PAGEIND,STRONG_STOCK,NO_NEWS,13753.38,13957.82
PANACEABIO,STRONG_STOCK,NO_NEWS,151.12,155.78
PANAMAPET,STRONG_STOCK,NO_NEWS,114.73,123.77
PANORAMUNI,WEEK_STOCK,NO_NEWS,8.92,9.48
PAPERPROD,WEEK_STOCK,NEWS,236.15,240.35
PARABDRUGS,WEEK_STOCK,NO_NEWS,8.7,8.9
PARRYSUGAR,STRONG_STOCK,NO_NEWS,60.63,61.47
PARSVNATH,STRONG_STOCK,NEWS,13.28,13.42
PATELENG,WEEK_STOCK,NO_NEWS,77.15,78.35
PATINTLOG,WEEK_STOCK,NO_NEWS,75.9,76.8
PATSPINLTD,WEEK_STOCK,NO_NEWS,13.88,14.52
PBAINFRA,WEEK_STOCK,NO_NEWS,23.98,24.52
PCJEWELLER,STRONG_STOCK,NO_NEWS,373.12,379.38
PDMJEPAPER,WEEK_STOCK,NO_NEWS,20.3,20.6
PDPL,WEEK_STOCK,NO_NEWS,29.37,31.03
PDSMFL,STRONG_STOCK,NEWS,145.63,148.97
PDUMJEIND,STRONG_STOCK,NO_NEWS,10.83,11.07
PDUMJEPULP,STRONG_STOCK,NO_NEWS,20.05,20.65
PEARLPOLY,STRONG_STOCK,NO_NEWS,30.85,33.85
PEL,WEEK_STOCK,NEWS,1880.93,1918.77
PENIND,STRONG_STOCK,NEWS,41.88,42.32
PENINLAND,WEEK_STOCK,NO_NEWS,16.45,17.05
PENPEBS,STRONG_STOCK,NO_NEWS,115.57,118.53
PERSISTENT,WEEK_STOCK,NO_NEWS,626.25,635.05
PETRONENGG,WEEK_STOCK,NO_NEWS,133.13,136.17
PETRONET,STRONG_STOCK,NEWS,393.82,400.68
PFC,WEEK_STOCK,NEWS,136.08,138.82
PFIZER,WEEK_STOCK,NO_NEWS,1770.02,1783.18
PFOCUS,WEEK_STOCK,NO_NEWS,84.28,85.52
PFS,WEEK_STOCK,NO_NEWS,41.65,42.55
PGEL,WEEK_STOCK,NO_NEWS,181.72,188.38
PGHH,STRONG_STOCK,NO_NEWS,7010.77,7063.63
PGIL,STRONG_STOCK,NO_NEWS,144.15,148.15
PHILIPCARB,WEEK_STOCK,NO_NEWS,286.03,292.97
PHOENIXLL,WEEK_STOCK,NO_NEWS,157.28,159.82
PHOENIXLTD,WEEK_STOCK,NO_NEWS,357.33,374.47
PIDILITIND,WEEK_STOCK,NO_NEWS,690.15,701.45
PIIND,STRONG_STOCK,NO_NEWS,849.85,857.55
PILITA,STRONG_STOCK,NO_NEWS,16.05,16.45
PIONDIST,WEEK_STOCK,NO_NEWS,177.78,181.92
PIONEEREMB,STRONG_STOCK,NO_NEWS,48.67,50.33
PIRPHYTO,WEEK_STOCK,NEWS,89.23,91.17
PITTILAM,WEEK_STOCK,NO_NEWS,65.4,67.2
PKTEA,WEEK_STOCK,NO_NEWS,158.03,168.67
PLASTIBLEN,STRONG_STOCK,NO_NEWS,471.72,484.98
PNB,WEEK_STOCK,NO_NEWS,140.65,143.25
PNBGILTS,WEEK_STOCK,NO_NEWS,55.43,56.47
PNC,STRONG_STOCK,NO_NEWS,100.22,102.18
PNCINFRA,STRONG_STOCK,NO_NEWS,100.22,102.18
PNEUMATIC,STRONG_STOCK,NO_NEWS,1120.33,1159.67
POCHIRAJU,STRONG_STOCK,NO_NEWS,7.7,7.9
POLARIS,STRONG_STOCK,NO_NEWS,176.78,180.42
POLYMED,WEEK_STOCK,NO_NEWS,490.08,495.42
POLYPLEX,STRONG_STOCK,NO_NEWS,369.83,374.97
PONNIERODE,WEEK_STOCK,NO_NEWS,206.57,210.93
POWERGRID,WEEK_STOCK,NEWS,200.45,202.75
POWERMECH,WEEK_STOCK,NO_NEWS,440.18,445.82
PPAP,WEEK_STOCK,NO_NEWS,212.87,216.63
PRABHAT,WEEK_STOCK,NO_NEWS,125.25,127.65
PRAJIND,WEEK_STOCK,NO_NEWS,77.67,78.33
PRAKASH,WEEK_STOCK,NO_NEWS,79.6,81.6
PRAKASHCON,WEEK_STOCK,NEWS,4.53,4.77
PRAKASHSTL,STRONG_STOCK,NO_NEWS,1.37,1.43
PRATIBHA,WEEK_STOCK,NO_NEWS,12.47,12.63
PRECAM,WEEK_STOCK,NO_NEWS,154.32,156.58
PRECOT,STRONG_STOCK,NO_NEWS,65.45,67.25
PRECWIRE,WEEK_STOCK,NO_NEWS,119.7,123.2
PREMIER,WEEK_STOCK,NO_NEWS,33.2,33.8
PRESSMN,WEEK_STOCK,NO_NEWS,60.8,62.8
PRESTIGE,STRONG_STOCK,NO_NEWS,169.95,171.35
PRIMESECU,STRONG_STOCK,NO_NEWS,26.35,27.55
PRISMCEM,STRONG_STOCK,NO_NEWS,93.8,95.7
PROVOGE,STRONG_STOCK,NO_NEWS,4.27,4.33
PROZONINTU,WEEK_STOCK,NO_NEWS,34.65,35.75
PSB,WEEK_STOCK,NEWS,52.5,53.6
PSL,WEEK_STOCK,NO_NEWS,6.78,7.12
PSUBNKBEES,WEEK_STOCK,NO_NEWS,365.68,368.34
PTC,WEEK_STOCK,NO_NEWS,89.57,90.93
PTL,STRONG_STOCK,NO_NEWS,138.7,140.3
PUNJABCHEM,WEEK_STOCK,NO_NEWS,281.88,284.62
PUNJLLOYD,WEEK_STOCK,NEWS,21.28,21.72
PURVA,WEEK_STOCK,NO_NEWS,49.28,50.22
PVP,WEEK_STOCK,NO_NEWS,4.83,4.97
PVR,WEEK_STOCK,NO_NEWS,1255.42,1271.28
