SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
RADAAN,STRONG_STOCK,NO_NEWS,1.7,1.7
RADICO,WEEK_STOCK,NEWS,131.2,134.6
RAIN,STRONG_STOCK,NO_NEWS,83.72,85.28
RAIREKMOH,WEEK_STOCK,NO_NEWS,75.2,76.7
RAJESHEXPO,WEEK_STOCK,NO_NEWS,510.37,520.13
RAJOIL,STRONG_STOCK,NO_NEWS,2.03,2.27
RAJSREESUG,WEEK_STOCK,NO_NEWS,61.43,62.87
RAJTV,STRONG_STOCK,NO_NEWS,60.72,64.18
RALLIS,WEEK_STOCK,NEWS,237.97,242.23
RAMANEWS,WEEK_STOCK,NO_NEWS,31.92,33.18
RAMASTEEL,WEEK_STOCK,NO_NEWS,127.65,129.95
RAMCOCEM,WEEK_STOCK,NO_NEWS,656.72,676.98
RAMCOIND,STRONG_STOCK,NO_NEWS,207.73,212.77
RAMCOSYS,STRONG_STOCK,NO_NEWS,356.8,368.1
RAMKY,WEEK_STOCK,NO_NEWS,81.92,82.98
RANASUG,STRONG_STOCK,NO_NEWS,10.52,10.68
RANEENGINE,STRONG_STOCK,NO_NEWS,580.18,595.52
RANEHOLDIN,WEEK_STOCK,NO_NEWS,864.27,879.63
RATNAMANI,WEEK_STOCK,NO_NEWS,680.98,696.32
RAYMOND,WEEK_STOCK,NEWS,569.68,581.92
RBL,WEEK_STOCK,NO_NEWS,959.02,969.28
RCF,WEEK_STOCK,NO_NEWS,58.97,59.83
RCOM,STRONG_STOCK,NEWS,35.08,36.42
RDEL,STRONG_STOCK,NO_NEWS,59.2,59.9
RECLTD,STRONG_STOCK,NO_NEWS,156.8,159.3
RECLTD,STRONG_STOCK,NO_NEWS,156.8,159.3
RECLTD,STRONG_STOCK,NO_NEWS,156.8,159.3
RECLTD,STRONG_STOCK,NO_NEWS,156.8,159.3
RECLTD,STRONG_STOCK,NO_NEWS,156.8,159.3
REDINGTON,STRONG_STOCK,NO_NEWS,106.58,108.12
REFEX,WEEK_STOCK,NO_NEWS,14.57,15.13
REIAGROLTD,STRONG_STOCK,NO_NEWS,0.42,0.48
RELAXO,WEEK_STOCK,NO_NEWS,416.07,425.13
RELCAPITAL,WEEK_STOCK,NEWS,520.57,527.33
RELCONS,WEEK_STOCK,NO_NEWS,40.69,40.91
RELIANCE,WEEK_STOCK,NEWS,1193.28,1221.72
RELIGARE,WEEK_STOCK,NO_NEWS,229.82,240.28
RELINFRA,WEEK_STOCK,NO_NEWS,560.9,569.9
RELNV20,STRONG_STOCK,NO_NEWS,395.09,395.09
RENUKA,WEEK_STOCK,NO_NEWS,15.67,16.03
REPCOHOME,WEEK_STOCK,NEWS,663.5,696.7
REPRO,WEEK_STOCK,NO_NEWS,397.65,401.65
RESPONIND,WEEK_STOCK,NEWS,87.73,91.27
REVATHI,WEEK_STOCK,NO_NEWS,802.9,829.4
RICOAUTO,STRONG_STOCK,NO_NEWS,55.15,55.75
RIIL,WEEK_STOCK,NO_NEWS,446.05,459.65
RJL,WEEK_STOCK,NEWS,151.32,153.58
RKDL,STRONG_STOCK,NO_NEWS,10.5,12.2
RKFORGE,WEEK_STOCK,NEWS,405.9,417.1
RMCL,WEEK_STOCK,NEWS,38.9,40.2
RML,WEEK_STOCK,NO_NEWS,417.8,426.4
ROHLTD,STRONG_STOCK,NO_NEWS,83.25,85.45
ROLTA,WEEK_STOCK,NO_NEWS,62.93,63.67
RPGLIFE,WEEK_STOCK,NO_NEWS,448.87,456.13
RPOWER,WEEK_STOCK,NO_NEWS,45.83,46.47
RPPINFRA,WEEK_STOCK,NO_NEWS,318.87,323.83
RSSOFTWARE,WEEK_STOCK,NO_NEWS,92.65,94.45
RSWM,WEEK_STOCK,NO_NEWS,391.85,398.45
RSYSTEMS,WEEK_STOCK,NEWS,57.03,58.37
RTNINFRA,STRONG_STOCK,NO_NEWS,3.18,3.22
RTNPOWER,STRONG_STOCK,NO_NEWS,7.07,7.13
RUBYMILLS,WEEK_STOCK,NO_NEWS,341.93,345.27
RUCHIRA,STRONG_STOCK,NEWS,127.13,129.77
RUCHISOYA,WEEK_STOCK,NEWS,25.95,26.25
RUPA,WEEK_STOCK,NO_NEWS,295.67,314.53
RUSHIL,STRONG_STOCK,NO_NEWS,665.57,670.33
