SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
SABTN,STRONG_STOCK,NO_NEWS,285.08,288.42
SADBHAV,STRONG_STOCK,NO_NEWS,272.13,276.27
SADBHIN,STRONG_STOCK,NO_NEWS,91.8,93.8
SAGCEM,WEEK_STOCK,NO_NEWS,750.45,773.65
SAIL,WEEK_STOCK,NO_NEWS,60.17,60.83
SAKHTISUG,WEEK_STOCK,NO_NEWS,36.05,37.05
SAKSOFT,STRONG_STOCK,NO_NEWS,278.73,282.97
SAKUMA,WEEK_STOCK,NO_NEWS,62.07,63.43
SALORAINTL,STRONG_STOCK,NO_NEWS,61.52,62.98
SALSTEEL,WEEK_STOCK,NO_NEWS,5.8,6.1
SALZERELEC,STRONG_STOCK,NO_NEWS,183.53,185.87
SAMBHAAV,WEEK_STOCK,NO_NEWS,5.6,5.9
SANCO,STRONG_STOCK,NO_NEWS,129.23,130.87
SANDESH,WEEK_STOCK,NO_NEWS,909.98,926.42
SANGAMIND,STRONG_STOCK,NO_NEWS,258.28,263.42
SANGHIIND,STRONG_STOCK,NO_NEWS,64.57,65.33
SANGHVIFOR,WEEK_STOCK,NO_NEWS,42.7,44
SANGHVIMOV,STRONG_STOCK,NO_NEWS,233.78,240.92
SANOFI,WEEK_STOCK,NO_NEWS,4133.93,4213.57
SANWARIA,WEEK_STOCK,NO_NEWS,8.85,9.15
SARDAEN,WEEK_STOCK,NO_NEWS,247.32,251.58
SAREGAMA,STRONG_STOCK,NO_NEWS,209.5,214.4
SARLAPOLY,WEEK_STOCK,NO_NEWS,61.9,64.5
SASKEN,WEEK_STOCK,NO_NEWS,392.8,406.1
SATHAISPAT,WEEK_STOCK,NO_NEWS,61.82,63.48
SATIN,WEEK_STOCK,NO_NEWS,432.6,442.7
SBBJ,WEEK_STOCK,NEWS,733.32,739.18
SBIN,WEEK_STOCK,NEWS,271.17,273.43
SBIN,WEEK_STOCK,NEWS,271.17,273.43
SBIN,WEEK_STOCK,NEWS,271.17,273.43
SBT,WEEK_STOCK,NEWS,577.9,582.5
SCHNEIDER,WEEK_STOCK,NO_NEWS,135.92,139.08
SCI,STRONG_STOCK,NO_NEWS,62.48,63.02
SDBL,WEEK_STOCK,NO_NEWS,123.15,126.55
SEAMECLTD,WEEK_STOCK,NO_NEWS,84.12,85.18
SEINV,STRONG_STOCK,NO_NEWS,175.98,181.22
SELAN,WEEK_STOCK,NO_NEWS,181.78,183.12
SELMCL,WEEK_STOCK,NO_NEWS,3.02,3.08
SEQUENT,STRONG_STOCK,NEWS,133.37,140.33
SERVALL,WEEK_STOCK,NO_NEWS,3.27,3.43
SESHAPAPER,STRONG_STOCK,NO_NEWS,740.35,754.35
SETFGOLD,WEEK_STOCK,NO_NEWS,2691.32,2705.48
SETFNIF50,STRONG_STOCK,NO_NEWS,90.33,90.67
SETFNIFBK,WEEK_STOCK,NO_NEWS,211.85,212.51
SFCL,STRONG_STOCK,NEWS,108.47,112.03
SHAKTIPUMP,WEEK_STOCK,NO_NEWS,160.87,163.33
SHALPAINTS,WEEK_STOCK,NO_NEWS,145.52,147.38
SHANTIGEAR,STRONG_STOCK,NO_NEWS,107.88,110.22
SHARDACROP,STRONG_STOCK,NO_NEWS,460.95,466.25
