SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
ACE,STRONG_STOCK,NO_NEWS,51.03,53.07
ADANIENT,STRONG_STOCK,NO_NEWS,93.28,95.82
ADANIPOWER,STRONG_STOCK,NEWS,35.85,37.55
ADANITRANS,STRONG_STOCK,NO_NEWS,61.85,62.75
ADLABS,STRONG_STOCK,NO_NEWS,74.98,84.12
AEGISCHEM,STRONG_STOCK,NO_NEWS,195.3,201.3
AGARIND,STRONG_STOCK,NO_NEWS,409.67,418.73
AGCNET,STRONG_STOCK,NO_NEWS,89.15,90.85
AHLEAST,STRONG_STOCK,NO_NEWS,218.78,223.32
AHLUCONT,STRONG_STOCK,NO_NEWS,296.38,302.92
AHLWEST,STRONG_STOCK,NO_NEWS,213.68,216.22
AIFL,STRONG_STOCK,NO_NEWS,415.65,423.65
AJMERA,STRONG_STOCK,NO_NEWS,173.75,176.95
AKZOINDIA,STRONG_STOCK,NO_NEWS,1473.47,1503.43
ALBK,STRONG_STOCK,NEWS,69.55,72.35
ALKALI,STRONG_STOCK,NO_NEWS,74.87,79.23
ALKEM,STRONG_STOCK,NO_NEWS,1991.93,2053.17
ALKYLAMINE,STRONG_STOCK,NO_NEWS,361.35,369.35
ALOKTEXT,STRONG_STOCK,NO_NEWS,3.37,3.43
ALPHAGEO,STRONG_STOCK,NO_NEWS,929.53,954.77
AMBIKCO,STRONG_STOCK,NO_NEWS,1160.5,1223.2
AMTEKAUTO,STRONG_STOCK,NEWS,34.9,37.1
ANDHRABANK,STRONG_STOCK,NEWS,53.75,55.95
ANDHRSUGAR,STRONG_STOCK,NO_NEWS,267.25,272.85
APARINDS,STRONG_STOCK,NEWS,738.23,747.57
APLAPOLLO,STRONG_STOCK,NO_NEWS,1060.15,1079.75
APOLLOTYRE,STRONG_STOCK,NO_NEWS,178.05,181.75
ARCOTECH,STRONG_STOCK,NO_NEWS,711.62,739.48
ARROWTEX,STRONG_STOCK,NO_NEWS,44.83,45.47
ARSHIYA,STRONG_STOCK,NO_NEWS,55.7,59.8
ASHAPURMIN,STRONG_STOCK,NO_NEWS,65.47,66.53
ASHIANA,STRONG_STOCK,NO_NEWS,171.65,177.65
ASIANTILES,STRONG_STOCK,NO_NEWS,278.33,282.67
ASTRAL,STRONG_STOCK,NEWS,430.23,442.77
ASTRAMICRO,STRONG_STOCK,NO_NEWS,115.17,116.73
