SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
TAJGVK,WEEK_STOCK,NO_NEWS,127.97,131.93
TAKE,WEEK_STOCK,NO_NEWS,136.78,138.32
TALBROAUTO,WEEK_STOCK,NO_NEWS,130.87,132.83
TALWALKARS,WEEK_STOCK,NO_NEWS,209.82,212.28
TANLA,WEEK_STOCK,NO_NEWS,54.02,54.98
TARAJEWELS,WEEK_STOCK,NO_NEWS,42.33,44.07
TARMAT,WEEK_STOCK,NO_NEWS,52.65,55.55
TATACHEM,WEEK_STOCK,NEWS,579.83,587.87
TATACOFFEE,WEEK_STOCK,NO_NEWS,121.1,122.7
TATACOMM,STRONG_STOCK,NEWS,735.47,746.13
TATAELXSI,WEEK_STOCK,NEWS,1475.3,1495.5
TATAGLOBAL,WEEK_STOCK,NO_NEWS,139.27,140.73
TATAINVEST,WEEK_STOCK,NO_NEWS,591.28,595.32
TATAMETALI,STRONG_STOCK,NO_NEWS,457.63,464.67
TATAMOTORS,STRONG_STOCK,NEWS,457.57,462.53
TATAMTRDVR,WEEK_STOCK,NEWS,280.52,285.58
TATAPOWER,WEEK_STOCK,NEWS,83.32,84.98
TATASPONGE,WEEK_STOCK,NO_NEWS,620.82,631.28
TATASTEEL,STRONG_STOCK,NEWS,480.8,487.3
TBZ,STRONG_STOCK,NO_NEWS,67.85,69.45
TCI,STRONG_STOCK,NO_NEWS,204.45,207.15
TCIDEVELOP,WEEK_STOCK,NO_NEWS,348.75,351.25
TCIFINANCE,WEEK_STOCK,NO_NEWS,25.48,25.92
TCS,STRONG_STOCK,NO_NEWS,2385.42,2437.58
TDPOWERSYS,WEEK_STOCK,NO_NEWS,160.08,164.82
TEAMLEASE,WEEK_STOCK,NO_NEWS,857.32,866.58
TECHM,WEEK_STOCK,NO_NEWS,502.88,513.02
TECHNO,STRONG_STOCK,NO_NEWS,367.12,370.88
TECHNOFAB,STRONG_STOCK,NO_NEWS,185.5,189.5
TEXINFRA,WEEK_STOCK,NO_NEWS,42.25,42.75
TEXMOPIPES,STRONG_STOCK,NO_NEWS,20.13,20.47
TEXRAIL,WEEK_STOCK,NO_NEWS,89.5,90.5
TFCILTD,WEEK_STOCK,NO_NEWS,57.45,58.45
TGBHOTELS,WEEK_STOCK,NO_NEWS,59.85,61.05
THANGAMAYL,STRONG_STOCK,NO_NEWS,189.58,195.72
THEMISMED,WEEK_STOCK,NO_NEWS,604.58,604.62
THERMAX,STRONG_STOCK,NO_NEWS,846.7,852.7
THIRUSUGAR,WEEK_STOCK,NO_NEWS,60.93,62.37
THOMASCOOK,WEEK_STOCK,NO_NEWS,193.23,196.77
TI,STRONG_STOCK,NO_NEWS,13.62,13.98
TIDEWATER,WEEK_STOCK,NO_NEWS,6008.35,6054.35
TIIL,WEEK_STOCK,NO_NEWS,414.67,422.73
TIJARIA,STRONG_STOCK,NO_NEWS,7.47,7.73
TIL,WEEK_STOCK,NO_NEWS,294.73,301.67
TIMETECHNO,WEEK_STOCK,NEWS,93.98,95.12
TIMKEN,WEEK_STOCK,NO_NEWS,607.48,616.02
TINPLATE,WEEK_STOCK,NO_NEWS,80.73,81.87
TIRUMALCHM,WEEK_STOCK,NEWS,851.8,870.3
TITAN,WEEK_STOCK,NEWS,436.47,443.53
TNPETRO,WEEK_STOCK,NEWS,30.58,30.92
TNPL,STRONG_STOCK,NO_NEWS,346.47,350.63
TOKYOPLAST,WEEK_STOCK,NEWS,101.48,102.82
TORNTPHARM,WEEK_STOCK,NO_NEWS,1303.55,1320.35
TORNTPOWER,WEEK_STOCK,NO_NEWS,202.88,207.72
TRENT,WEEK_STOCK,NO_NEWS,247.13,250.57
TRF,WEEK_STOCK,NO_NEWS,187.17,189.83
TRICOM,WEEK_STOCK,NO_NEWS,0.87,0.93
TRIDENT,WEEK_STOCK,NO_NEWS,69.33,70.27
TRIL,WEEK_STOCK,NO_NEWS,372.58,380.82
TRITURBINE,WEEK_STOCK,NO_NEWS,121.83,123.97
TRIVENI,STRONG_STOCK,NO_NEWS,70.05,71.25
TTKHLTCARE,STRONG_STOCK,NO_NEWS,816.57,828.83
TTKPRESTIG,WEEK_STOCK,NEWS,5335.73,5386.07
TTL,STRONG_STOCK,NO_NEWS,53.47,54.83
TTML,STRONG_STOCK,NO_NEWS,6.32,6.58
TUBEINVEST,STRONG_STOCK,NO_NEWS,604.7,613.1
TULSI,WEEK_STOCK,NO_NEWS,3.97,4.03
TV18BRDCST,WEEK_STOCK,NO_NEWS,39.75,40.35
TVSELECT,WEEK_STOCK,NO_NEWS,171.95,177.15
TVSMOTOR,STRONG_STOCK,NEWS,423.65,430.85
TVSSRICHAK,WEEK_STOCK,NO_NEWS,3027.62,3083.58
TVTODAY,STRONG_STOCK,NO_NEWS,259.47,263.13
TWL,WEEK_STOCK,NO_NEWS,102.65,104.55
