SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
UBHOLDINGS,STRONG_STOCK,NO_NEWS,25.77,26.33
UBL,WEEK_STOCK,NEWS,785.58,796.92
UCALFUEL,STRONG_STOCK,NO_NEWS,176.62,180.78
UCOBANK,STRONG_STOCK,NO_NEWS,36.32,36.98
UFLEX,WEEK_STOCK,NO_NEWS,265.1,270.8
UFO,WEEK_STOCK,NO_NEWS,407.17,414.43
UGARSUGAR,STRONG_STOCK,NO_NEWS,33.73,34.67
UJAAS,WEEK_STOCK,NEWS,35.97,38.53
ULTRACEMCO,STRONG_STOCK,NEWS,3764.47,3791.13
UMANGDAIRY,WEEK_STOCK,NEWS,77.83,80.17
UNICHEMLAB,WEEK_STOCK,NO_NEWS,252.22,259.38
UNIENTER,STRONG_STOCK,NO_NEWS,67.93,69.17
UNIONBANK,WEEK_STOCK,NO_NEWS,145.78,148.52
UNIPLY,STRONG_STOCK,NEWS,287.38,297.32
UNITECH,STRONG_STOCK,NO_NEWS,5.68,5.82
UNITEDBNK,WEEK_STOCK,NO_NEWS,24.73,25.07
UNITEDTEA,WEEK_STOCK,NO_NEWS,320.57,324.23
UNITY,STRONG_STOCK,NO_NEWS,8.4,8.6
UNIVCABLES,WEEK_STOCK,NO_NEWS,90.2,93.4
UPERGANGES,STRONG_STOCK,NO_NEWS,353.82,359.58
UPL,STRONG_STOCK,NEWS,703,714.8
USHAMART,WEEK_STOCK,NO_NEWS,18.28,18.82
UTINIFTETF,STRONG_STOCK,NO_NEWS,904.23,909.77
UTTAMSTL,WEEK_STOCK,NO_NEWS,30.83,31.47
UTTAMSUGAR,STRONG_STOCK,NO_NEWS,91.07,93.63
