SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
V2RETAIL,WEEK_STOCK,NO_NEWS,182.03,186.67
VADILALIND,WEEK_STOCK,NO_NEWS,661.15,670.55
VAIBHAVGBL,STRONG_STOCK,NO_NEWS,418.32,422.18
VAKRANGEE,STRONG_STOCK,NO_NEWS,312.63,315.17
VALUEIND,STRONG_STOCK,NO_NEWS,12.55,12.65
VARDHACRLC,WEEK_STOCK,NO_NEWS,47.03,47.67
VARDMNPOLY,WEEK_STOCK,NO_NEWS,79.65,81.65
VASCONEQ,STRONG_STOCK,NO_NEWS,34.38,35.02
VASWANI,WEEK_STOCK,NO_NEWS,10.75,10.95
VEDL,WEEK_STOCK,NO_NEWS,260.35,265.45
VENKEYS,STRONG_STOCK,NO_NEWS,823.75,858.75
VENUSREM,STRONG_STOCK,NEWS,101.73,104.47
VESUVIUS,WEEK_STOCK,NO_NEWS,1205.48,1222.52
VETO,WEEK_STOCK,NO_NEWS,140.73,146.47
VGUARD,WEEK_STOCK,NO_NEWS,211.53,213.87
VHL,STRONG_STOCK,NO_NEWS,2390.57,2573.23
VICEROY,WEEK_STOCK,NO_NEWS,19.87,20.33
VIDEOIND,WEEK_STOCK,NO_NEWS,103.77,104.13
VIDHIDYE,STRONG_STOCK,NO_NEWS,51.88,52.42
VIJAYABANK,STRONG_STOCK,NEWS,64.53,65.77
VIJSHAN,STRONG_STOCK,NO_NEWS,11.45,11.75
VIKASECO,WEEK_STOCK,NO_NEWS,17.67,18.03
VIMALOIL,WEEK_STOCK,NO_NEWS,40.95,41.65
VIMTALABS,WEEK_STOCK,NO_NEWS,108.2,110.4
VINATIORGA,WEEK_STOCK,NO_NEWS,748.3,764.9
VINDHYATEL,STRONG_STOCK,NO_NEWS,641.4,650.2
VINYLINDIA,WEEK_STOCK,NO_NEWS,63,64.5
VIPIND,STRONG_STOCK,NO_NEWS,144.92,148.78
VIPULLTD,WEEK_STOCK,NO_NEWS,68.53,70.67
VISAKAIND,STRONG_STOCK,NO_NEWS,218.77,223.93
VISASTEEL,WEEK_STOCK,NO_NEWS,21.8,22.6
VISHNU,WEEK_STOCK,NO_NEWS,279.03,284.07
VIVIDHA,STRONG_STOCK,NO_NEWS,2.22,2.28
VIVIMEDLAB,WEEK_STOCK,NO_NEWS,104.93,107.07
VLSFINANCE,WEEK_STOCK,NO_NEWS,55.15,56.85
VMART,STRONG_STOCK,NO_NEWS,686.48,711.52
VOLTAMP,WEEK_STOCK,NO_NEWS,947.05,957.05
VOLTAS,STRONG_STOCK,NEWS,351.62,357.88
VRLLOG,WEEK_STOCK,NO_NEWS,291.12,296.18
VSSL,WEEK_STOCK,NO_NEWS,115.35,117.35
VSTIND,WEEK_STOCK,NO_NEWS,2709.33,2742.67
VSTTILLERS,WEEK_STOCK,NO_NEWS,1851.4,1887
VTL,WEEK_STOCK,NO_NEWS,1325.97,1351.93
WABAG,STRONG_STOCK,NEWS,541.48,553.52
