SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
WABCOINDIA,WEEK_STOCK,NO_NEWS,5423.05,5527.75
WALCHANNAG,WEEK_STOCK,NO_NEWS,148.12,150.38
WEBELSOLAR,WEEK_STOCK,NO_NEWS,53.95,55.05
WEIZFOREX,STRONG_STOCK,NO_NEWS,224.18,229.52
WEIZMANIND,STRONG_STOCK,NO_NEWS,28.53,29.47
WELCORP,STRONG_STOCK,NO_NEWS,82.65,83.95
WELENT,WEEK_STOCK,NO_NEWS,68.87,71.23
WELINV,WEEK_STOCK,NO_NEWS,83.42,85.38
WELSPUNIND,STRONG_STOCK,NO_NEWS,88.58,91.12
WENDT,WEEK_STOCK,NO_NEWS,1865.83,1881.77
WHEELS,WEEK_STOCK,NO_NEWS,1241.32,1260.58
WHIRLPOOL,STRONG_STOCK,NO_NEWS,1036.72,1055.18
WILLAMAGOR,WEEK_STOCK,NO_NEWS,67.5,69.4
WINDMACHIN,WEEK_STOCK,NO_NEWS,47.62,48.58
WINSOME,STRONG_STOCK,NO_NEWS,1.88,1.92
WIPRO,STRONG_STOCK,NO_NEWS,468.6,480.4
WOCKPHARMA,WEEK_STOCK,NO_NEWS,704.45,718.25
WONDERLA,WEEK_STOCK,NO_NEWS,371.95,376.95
WSTCSTPAPR,STRONG_STOCK,NO_NEWS,174.37,177.33
