SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
ZANDUREALT,WEEK_STOCK,NO_NEWS,1236.23,1252.57
ZEEL,STRONG_STOCK,NO_NEWS,513,519.3
ZEELEARN,WEEK_STOCK,NO_NEWS,44.77,45.43
ZEEMEDIA,WEEK_STOCK,NO_NEWS,35.68,36.62
ZENSARTECH,WEEK_STOCK,NO_NEWS,922.92,939.88
ZENTEC,WEEK_STOCK,NO_NEWS,67.87,69.33
ZICOM,WEEK_STOCK,NO_NEWS,40.77,41.43
ZODIACLOTH,WEEK_STOCK,NO_NEWS,183.75,185.95
ZODJRDMKJ,STRONG_STOCK,NO_NEWS,35.1,35.1
ZUARI,STRONG_STOCK,NO_NEWS,326.15,338.75
ZUARIGLOB,WEEK_STOCK,NO_NEWS,114.63,117.67
ZYDUSWELL,WEEK_STOCK,NEWS,835.78,841.72
