SYMBOL,PREDECTION,MAX_GREEN,MAX_RED,SMA
20MICRONS,GREEN,6,4,56.59
63MOONS,RED,3,7,96.41
A2ZINFRA,RED,4,5,38.77
AARVEEDEN,RED,4,6,46.58
ABAN,RED,2,7,174.09
ABFRL,RED,3,7,170.94
ABGSHIP,RED,6,4,12.43
ABMINTLTD,RED,1,4,32.58
ACE,RED,4,6,142.16
ADANIENT,GREEN,7,3,156.39
ADANIPOWER,RED,5,5,35.53
ADANITRANS,RED,1,3,77.4
ADHUNIKIND,GREEN,5,5,90.92
ADLABS,GREEN,6,4,67.68
ADSL,RED,5,4,26.05
ADVANIHOTR,GREEN,3,7,79.48
AFL,NEAUTRAL,0,0,8
AGCNET,GREEN,4,6,150.85
AGRITECH,GREEN,4,6,118.53
AGROPHOS,RED,5,5,30.93
AICHAMP,NEAUTRAL,0,1,12.27
AKASH,NEAUTRAL,0,0,14.23
AKSHOPTFBR,GREEN,5,5,32.34
ALANKIT,GREEN,5,5,57.09
ALBK,RED,4,5,74.01
ALCHEM,GREEN,7,3,14.43
ALEMBICLTD,GREEN,6,4,46.41
ALKALI,RED,3,7,76.75
ALLCARGO,RED,5,5,185.53
ALMONDZ,RED,4,6,26.97
ALPA,RED,4,6,39.21
AMDIND,RED,2,8,46.98
AMTEKAUTO,RED,4,5,25.65
ANANTRAJ,RED,6,4,61.56
ANDHRABANK,RED,3,7,60.36
ANDHRACEMT,GREEN,4,3,11.38
ANIKINDS,RED,3,7,48.95
ANSALAPI,GREEN,5,5,22.67
ANSALHSG,RED,4,6,23.36
ARCHIDPLY,GREEN,6,4,108.62
ARCHIES,RED,6,4,42.59
ARCOTECH,GREEN,4,6,55.4
ARIHANT,RED,5,4,47.56
AROGRANITE,RED,5,4,69.07
ARROWTEX,RED,3,7,45.2
ARSHIYA,RED,4,6,100.12
ARSSINFRA,RED,5,5,59.66
ARVSMART,RED,2,8,175.77
ASAL,RED,4,6,82.64
ASHAPURMIN,RED,3,7,94.31
ASHIANA,RED,3,7,171.42
ASHIMASYN,GREEN,5,5,31.28
ASHOKLEY,RED,3,7,115.59
ASIANHOTNR,NEAUTRAL,7,2,159.08
ASTRAMICRO,RED,4,6,113.45
ATLANTA,RED,3,7,108.73
ATLASCYCLE,RED,0,3,59.71
AURDIS,NEAUTRAL,1,2,22.92
AURIONPRO,RED,4,5,180.48
AUTOIND,RED,2,8,107.15
AUTOLITIND,RED,4,6,71.45
AVTNPL,GREEN,6,4,54.98
AXISCADES,GREEN,4,4,144.3
AYMSYNTEX,RED,4,6,59.95
BAFNAPHARM,RED,1,9,26.02
BAJAJHIND,RED,2,7,14.45
BALAJITELE,RED,2,8,156.68
BALKRISHNA,GREEN,5,5,84.24
BALLARPUR,GREEN,6,3,14.72
BALPHARMA,GREEN,3,7,96.41
BALRAMCHIN,GREEN,2,8,145.29
BANARBEADS,RED,4,6,71.2
BANG,RED,3,7,40.29
BANKBARODA,RED,3,7,166.81
BANKINDIA,RED,2,8,176.76
BANSWRAS,GREEN,3,7,140.97
BARTRONICS,GREEN,5,4,14.76
BEARDSELL,RED,6,4,63.53
BEDMUTHA,GREEN,8,2,29.46
BEL,RED,4,6,183.13
BEPL,RED,1,9,171.13
BGRENERGY,RED,2,8,131.5
BHARATGEAR,RED,2,4,110.18
BHARATWIRE,GREEN,5,5,119.92
BHEL,RED,3,6,90.56
BHUSANSTL,RED,1,9,63.52
BIGBLOC,GREEN,5,5,128.04
BINANIIND,RED,6,4,103.88
BINDALAGRO,GREEN,6,4,37.34
BIRLACABLE,NEAUTRAL,6,3,64.51
BIRLAMONEY,RED,3,7,77.85
BLISSGVS,RED,0,4,79.09
BLKASHYAP,GREEN,5,5,60.55
BLUEBLENDS,RED,4,6,32.91
BLUECOAST,NEAUTRAL,0,3,51.95
BLUEDART,RED,3,3,15.57
BODALCHEM,RED,4,6,165.06
BPL,GREEN,7,3,105.3
BRFL,RED,0,1,66.73
BROOKS,RED,1,9,105.2
BSL,GREEN,6,4,77.73
BSLNIFTY,GREEN,7,2,107.28
BURNPUR,GREEN,7,2,11.84
BVCL,GREEN,3,7,28.15
BYKE,GREEN,4,6,168.11
CALSOFT,NEAUTRAL,1,1,93.94
CAMLINFINE,GREEN,5,5,118.88
CANDC,RED,5,5,80.16
CANTABIL,RED,3,7,102.68
CAREERP,RED,4,6,126.62
CCHHL,GREEN,5,4,15.07
CEBBCO,GREEN,5,5,17.7
CELEBRITY,GREEN,2,7,15.49
CELESTIAL,RED,4,5,19.66
CENTRALBK,RED,2,8,76.09
CEREBRAINT,RED,3,7,40.07
CGCL,RED,2,8,117.05
CGPOWER,RED,5,5,87.04
CHAMBLFERT,RED,3,7,146.15
CIMMCO,RED,5,5,118.82
CINELINE,RED,5,5,90.75
CINEVISTA,RED,4,6,15.04
CNOVAPETRO,RED,4,6,42.05
COMPINFO,GREEN,3,7,47.26
COMPUSOFT,RED,6,3,15.65
CONSOFINVT,GREEN,4,6,64.49
CORDSCABLE,RED,5,5,124.51
CORPBANK,RED,4,6,39.85
CPSEETF,RED,4,6,29.8
CTE,GREEN,5,5,74.67
CUB,RED,0,10,177.63
CYBERTECH,RED,2,8,72.58
DAAWAT,RED,3,7,82.5
DALMIASUG,RED,2,8,137.55
DAMODARIND,GREEN,4,6,126.99
DATAMATICS,GREEN,5,5,129.52
DBREALTY,RED,2,7,37.88
DCBBANK,RED,5,5,191.05
DCM,RED,0,10,108.08
DCW,RED,3,7,40.4
DEN,GREEN,2,8,107.99
DENABANK,RED,2,8,24.23
DHANBANK,RED,1,9,29.86
DHARSUGAR,RED,1,9,29.71
DIAPOWER,RED,1,8,18.04
DIGJAMLTD,RED,4,6,16.18
DISHTV,RED,1,8,80.26
DLINKINDIA,GREEN,5,5,127.24
DOLPHINOFF,RED,3,7,117.7
DONEAR,GREEN,5,4,72.65
DPL,GREEN,4,6,142.86
DPSCLTD,RED,3,7,33.18
DQE,RED,3,6,18.43
DSKULKARNI,RED,4,6,22.15
DSSL,GREEN,3,7,39.2
DUCON,RED,6,4,40.87
DWARKESH,RED,1,9,53.17
EASUNREYRL,GREEN,3,6,21.95
EDL,RED,2,8,47.81
EIHOTEL,RED,2,8,145.89
EKC,GREEN,5,5,68.56
ELAND,GREEN,3,7,17.82
ELECON,GREEN,5,5,97.22
ELECTCAST,RED,5,5,32.27
ELECTHERM,RED,3,7,157.13
ELGIRUBCO,GREEN,3,6,50.5
EMCO,RED,4,6,19.11
ENERGYDEV,RED,4,6,27.13
ENGINERSIN,GREEN,4,5,170.25
EON,RED,3,6,116.38
EQUITAS,RED,5,5,140.6
EROSMEDIA,RED,0,4,79.13
ESSARSHPNG,RED,4,6,27.05
ESSDEE,GREEN,7,3,58.14
ESTER,GREEN,5,5,38.93
EUROTEXIND,GREEN,5,5,35.11
EXCEL,GREEN,2,7,100.16
FACT,RED,3,7,49.04
FCL,RED,5,5,45.07
FCONSUMER,RED,4,6,68.43
FEDERALBNK,RED,3,7,107.34
FEL,RED,0,9,50.37
FELDVR,RED,0,9,49.66
FLEXITUFF,RED,5,5,82.53
FMNL,RED,3,7,148.89
FORTIS,RED,5,5,136.35
FOURTHDIM,GREEN,5,1,107.61
FSL,RED,5,5,39.48
GABRIEL,RED,5,5,191.64
GAEL,RED,3,6,167.3
GANESHHOUC,RED,5,5,136.23
GARDENSILK,GREEN,3,7,40.49
GATI,RED,3,7,133.91
GEECEE,RED,3,7,159.09
GENUSPAPER,NEAUTRAL,0,6,12.55
GENUSPOWER,RED,4,6,73.4
GEOJITFSL,RED,4,6,119.29
GILLANDERS,GREEN,5,5,84.39
GINNIFILA,RED,4,6,40.28
GIPCL,GREEN,5,5,131.67
GITANJALI,RED,2,8,70.79
GLOBALVECT,GREEN,4,6,170.02
GLOBOFFS,RED,3,6,33.84
GLOBUSSPR,RED,7,3,141.89
GMDCLTD,RED,3,7,158.86
GMRINFRA,RED,5,5,17.85
GOKEX,RED,4,6,119.08
GOKUL,GREEN,4,6,21.44
GOKULAGRO,GREEN,6,3,25.11
GOLDENTOBC,NEAUTRAL,0,0,5
GOLDIAM,GREEN,3,7,84.13
GOLDINFRA,RED,1,6,130.62
GOLDTECH,GREEN,1,0,8.88
GOODLUCK,RED,5,5,83.84
GPIL,RED,1,2,56.4
GPPL,GREEN,3,7,137.25
GPTINFRA,RED,4,6,186.47
GRANULES,GREEN,5,5,128.98
GRAVITA,GREEN,3,7,152.59
GREAVESCOT,RED,2,8,118.36
GRETEX,NEAUTRAL,2,0,12.52
GSCLCEMENT,GREEN,6,4,33.92
GSFC,GREEN,5,5,142.8
GSS,GREEN,6,4,26.91
GTL,GREEN,3,7,14.38
GTNIND,RED,3,7,17.87
GTNTEX,RED,5,5,22.62
GUFICBIO,GREEN,6,4,111.82
GULFPETRO,RED,4,6,82.14
GULPOLY,GREEN,5,4,81.72
GVKPIL,RED,5,5,16.13
HARRMALAYA,RED,5,5,95.98
HATHWAY,GREEN,3,7,40.98
HBLPOWER,GREEN,4,5,69.4
HBSTOCK,RED,4,4,46.68
HCC,RED,5,5,37.24
HDIL,RED,4,6,54.66
HEIDELBERG,RED,3,7,154.56
HERCULES,RED,5,5,144.89
HEXATRADEX,GREEN,5,3,45.8
HFCL,RED,3,7,29.57
HIGHGROUND,GREEN,3,2,16.91
HILTON,RED,2,8,39.51
HINDCOPPER,RED,3,6,91.58
HINDDORROL,NEAUTRAL,0,0,1
HINDNATGLS,GREEN,3,7,159.75
HINDOILEXP,RED,4,6,133.88
HIRECT,RED,6,4,118.24
HISARMETAL,GREEN,4,6,98.14
HMT,GREEN,6,4,39.38
HOTELEELA,RED,3,6,19.79
HPL,RED,5,5,133.48
HSCL,RED,3,6,156.48
HTMEDIA,RED,2,8,96.86
HUBTOWN,GREEN,3,7,126.91
HUDCO,RED,4,6,79.36
IBREALEST,RED,0,2,39.49
ICIL,RED,3,7,114.38
IDBI,GREEN,4,6,59.27
IDEA,RED,4,5,96.34
IDFC,NEAUTRAL,4,5,58.8
IDFCBANK,GREEN,3,7,53.42
IDFNIFTYET,RED,1,4,62.36
IFCI,RED,4,6,24.45
IITL,GREEN,6,2,111.15
IL&FSENGG,GREEN,5,5,52.51
IL&FSTRANS,RED,3,7,75.97
INDBANK,RED,2,8,20.98
INDHOTEL,RED,3,7,119.62
INDIACEM,RED,4,6,172.19
INDIANCARD,GREEN,1,1,58.55
INDLMETER,GREEN,5,3,110.91
INDORAMA,RED,6,4,39.87
INDOTECH,RED,0,6,137.5
INDOTHAI,RED,6,4,63.68
INDRAMEDCO,GREEN,3,6,52.09
INDSWFTLAB,GREEN,6,4,42.07
INFIBEAM,RED,2,8,162.64
INOXWIND,RED,5,5,147.25
INTELLECT,GREEN,8,2,154.61
INTENTECH,GREEN,5,5,85.52
INVENTURE,RED,4,5,13.19
IOB,NEAUTRAL,2,7,22.7
IOLCP,RED,2,8,75.24
IRB,RED,0,1,19.52
