SYMBOL,STOCK_STATUS,NEWS_STATUS,BUY_PRICE,SELL_PRICE
ADANIENT,STRONG_STOCK,NO_NEWS,160.98,164.22
BEDMUTHA,WEEK_STOCK,NO_NEWS,29.58,30.62
BPL,WEEK_STOCK,NO_NEWS,114.65,117.95
BSLNIFTY,STRONG_STOCK,NO_NEWS,107.39,109.39
GOLDTECH,STRONG_STOCK,NO_NEWS,14.1,14.1
INTELLECT,STRONG_STOCK,NO_NEWS,168.4,172
NTPC,WEEK_STOCK,NO_NEWS,179.62,180.58
PARACABLES,STRONG_STOCK,NO_NEWS,15.77,16.83
SEPOWER,STRONG_STOCK,NO_NEWS,9.4,10.2
SREEL,WEEK_STOCK,NO_NEWS,295.5,313.7
STINDIA,STRONG_STOCK,NO_NEWS,24.95,24.95
SUPREMEINF,STRONG_STOCK,NO_NEWS,114.35,121.55
VARDMNPOLY,STRONG_STOCK,NO_NEWS,34.63,35.17
