SYMBOL,PREDECTION,MAX_GREEN,MAX_RED,SMA
20MICRONS,RED,3,2,40
3IINFOTECH,GREEN,1,3,6.11
3MINDIA,RED,1,4,12410.17
8KMILES,RED,1,4,650.94
A2ZINFRA,RED,2,3,43.77
AARTIDRUGS,RED,2,3,623.17
AARTIIND,RED,2,3,706.23
AARVEEDEN,RED,2,3,90.24
ABAN,RED,2,3,244.61
ABB,GREEN,2,3,1133.39
ABBOTINDIA,GREEN,1,4,4456.43
ABFRL,RED,2,3,143.53
ABGSHIP,RED,2,2,31.74
ABIRLANUVO,RED,3,2,1268.56
ACC,RED,2,2,1340.03
ACCELYA,RED,2,3,1469.61
ACE,RED,0,5,48.56
ACROPETAL,NEAUTRAL,0,0,0.27
ADANIENT,RED,3,2,79.41
ADANIPORTS,RED,2,3,295.36
ADANIPOWER,RED,3,1,37.18
ADANITRANS,RED,3,2,61.62
ADFFOODS,RED,1,4,148.51
ADHUNIK,NEAUTRAL,3,1,7.17
ADI,RED,1,3,434.38
ADLABS,RED,3,2,76.33
ADORWELD,RED,3,2,304.42
ADSL,RED,3,2,36.12
ADVANIHOTR,RED,1,3,52.12
ADVANTA,null,0,0,0
AEGISCHEM,RED,0,5,137.33
AFL,RED,3,2,60.08
AGARIND,RED,2,3,348.74
AGCNET,RED,0,5,92.24
AGRITECH,RED,2,3,32.55
AGRODUTCH,null,0,0,0
AHLEAST,GREEN,3,2,202.91
AHLUCONT,RED,2,2,272.01
AHLWEST,GREEN,3,2,216.69
AIAENG,RED,2,3,1357.18
AICHAMP,GREEN,1,1,19.56
AIFL,RED,1,4,418.52
AIL,null,0,0,0
AJANTPHARM,RED,1,4,1785.97
AJMERA,GREEN,2,3,153.19
AKSHOPTFBR,RED,2,3,24.78
AKZOINDIA,RED,2,3,1369.06
ALANKIT,RED,1,4,33.59
ALBK,RED,2,3,66
ALCHEM,RED,1,3,22.93
ALEMBICLTD,RED,1,4,37.06
ALICON,RED,2,3,384.94
ALKALI,RED,1,4,80.28
ALKEM,GREEN,3,2,1665.82
ALKYLAMINE,RED,4,1,315.92
ALLCARGO,RED,0,5,180.73
ALLSEC,RED,2,3,433.36
ALMONDZ,RED,3,1,14.8
ALOKTEXT,NEAUTRAL,1,3,3.44
ALPA,RED,2,3,34.39
ALPHAGEO,RED,0,5,887.5
ALPSINDUS,RED,1,4,8.29
ALSTOMT&D,null,0,0,0
AMARAJABAT,RED,2,3,910.05
AMBIKCO,RED,3,2,1046.22
AMBUJACEM,RED,2,3,215.31
AMDIND,GREEN,2,3,31.88
AMRUTANJAN,GREEN,3,2,610.48
AMTEKAUTO,RED,2,3,34.32
AMTL,RED,1,4,28.39
ANANTRAJ,RED,2,3,43.83
ANDHRABANK,RED,2,2,49.57
ANDHRACEMT,GREEN,3,2,8.24
ANDHRSUGAR,GREEN,2,3,230.74
ANGIND,GREEN,3,2,11.2
ANIKINDS,GREEN,2,2,26.43
ANKITMETAL,NEAUTRAL,1,3,1.93
ANSALAPI,RED,2,3,15.25
ANSALHSG,NEAUTRAL,1,3,23.46
ANTGRAPHIC,NEAUTRAL,1,0,1.08
APARINDS,GREEN,5,0,643.82
APCOTEXIND,RED,1,4,318.52
APLAPOLLO,GREEN,2,3,1026.2
APLLTD,RED,2,3,600.19
APOLLOHOSP,RED,1,4,1177.11
APOLLOTYRE,RED,3,2,187.4
APTECHT,RED,2,3,191.6
ARCHIDPLY,GREEN,2,3,66.08
ARCHIES,RED,1,4,24.19
ARCOTECH,RED,0,5,593.02
ARIES,RED,2,3,181.4
ARIHANT,GREEN,4,0,47.27
AROGRANITE,NEAUTRAL,1,3,70.61
ARROWCOAT,null,0,0,0
ARROWTEX,RED,1,2,42.5
ARSHIYA,GREEN,1,3,34.15
ARSSINFRA,RED,1,4,74.91
ARVIND,GREEN,3,2,371.09
ARVINFRA,null,0,0,0
ASAHIINDIA,GREEN,3,1,199.95
ASAHISONG,RED,1,4,252.99
ASHAPURMIN,RED,2,3,68.46
ASHIANA,GREEN,1,4,141.62
ASHIMASYN,NEAUTRAL,2,2,15.12
ASHOKA,GREEN,4,1,165.18
ASHOKLEY,GREEN,4,1,86.01
ASIANHOTNR,GREEN,3,2,103.85
ASIANPAINT,RED,2,3,950.94
ASIANTILES,RED,2,3,255.46
ASSAMCO,RED,0,5,6.94
ASTEC,RED,2,3,600.3
ASTRAL,GREEN,3,2,388.01
ASTRAMICRO,RED,1,3,117.05
ASTRAZEN,RED,2,3,963.57
ATFL,RED,1,4,463.87
ATLANTA,RED,2,3,76.73
ATLASCYCLE,GREEN,3,2,654.29
ATNINTER,NEAUTRAL,0,0,0.08
ATUL,RED,2,3,2197.52
ATULAUTO,RED,1,4,439.66
AURIONPRO,RED,1,4,139.67
AUROPHARMA,GREEN,3,2,710.94
AUSTRAL,NEAUTRAL,3,0,0.36
AUTOAXLES,RED,2,3,664.97
AUTOIND,RED,1,4,57.22
AUTOLITIND,RED,2,3,52.44
AVANTIFEED,GREEN,2,3,570.92
AVTNPL,RED,3,2,34.43
AXISBANK,GREEN,3,2,481.91
AXISCADES,RED,1,4,193.9
AXISGOLD,RED,1,4,2602.3
AYMSYNTEX,RED,2,3,77.42
BAFNAPHARM,RED,1,4,31.88
BAGFILMS,RED,1,4,4.48
BAJAJ-AUTO,RED,2,3,2710.82
BAJAJCORP,GREEN,2,3,391.79
BAJAJELEC,RED,1,4,228.72
BAJAJFINSV,RED,2,3,3050.66
BAJAJHIND,GREEN,1,3,14.84
BAJAJHLDNG,GREEN,2,3,1895.84
BAJFINANCE,GREEN,3,2,917.75
BALAJITELE,GREEN,2,3,92.7
BALAMINES,RED,1,4,343
BALKRISIND,RED,2,3,1131.89
BALLARPUR,NEAUTRAL,2,2,15.86
BALMLAWRIE,RED,1,4,228.26
BALPHARMA,RED,2,3,93
BALRAMCHIN,GREEN,2,3,141.06
BANARBEADS,RED,4,1,65.62
BANARISUG,RED,2,3,2067.41
BANCOINDIA,RED,1,4,214.48
BANG,GREEN,3,2,34.47
BANKBARODA,RED,2,3,159.07
BANKBEES,RED,2,3,1929.87
BANKINDIA,RED,1,4,115.04
BANSWRAS,RED,0,5,142.75
BARTRONICS,RED,1,3,19.24
BASF,RED,2,3,1138.53
BASML,RED,1,4,288.48
BATAINDIA,RED,2,3,471.3
BAYERCROP,GREEN,3,2,4098.28
BBL,GREEN,3,2,863.71
BBTC,GREEN,4,1,550.14
BEARDSELL,RED,2,3,379.79
BEDMUTHA,RED,3,2,24.07
BEL,RED,1,4,1514.98
BEML,RED,1,4,1192.42
BEPL,RED,0,5,24.81
BERGEPAINT,RED,0,5,213.97
BFINVEST,RED,1,4,153.85
BFUTILITIE,RED,0,5,388.18
BGLOBAL,NEAUTRAL,0,0,15.59
BGRENERGY,GREEN,3,2,136.79
BHAGERIA,RED,1,4,349.45
BHAGYNAGAR,GREEN,2,3,19.89
BHARATFORG,RED,1,3,939.72
BHARATGEAR,RED,2,3,110.79
BHARATIDIL,RED,3,2,16.07
BHARATRAS,RED,2,3,1887.2
BHARATWIRE,RED,4,1,83.18
BHARTIARTL,RED,1,4,317.66
BHEL,RED,1,4,130
BHUSANSTL,RED,1,4,43.18
BIL,GREEN,3,2,500.55
BILENERGY,NEAUTRAL,0,0,0.15
BILPOWER,GREEN,2,0,0.96
BINANIIND,GREEN,3,2,76.67
BINDALAGRO,GREEN,4,1,28.61
BIOCON,RED,2,3,994.78
BIRLACORPN,RED,3,2,693.28
BIRLACOT,NEAUTRAL,2,0,0.1
BIRLAERIC,null,0,0,0
BIRLAMONEY,GREEN,2,3,27.32
BLBLIMITED,NEAUTRAL,1,2,6.3
BLISSGVS,RED,3,2,151.83
BLKASHYAP,RED,2,3,21.41
BLUEBLENDS,GREEN,2,3,50.74
BLUECHIP,GREEN,4,0,0.43
BLUEDART,NEAUTRAL,0,5,4455.29
BLUEDART,NEAUTRAL,0,5,4455.29
BLUEDART,NEAUTRAL,0,5,4455.29
BLUEDART,NEAUTRAL,0,5,4455.29
BLUESTARCO,RED,3,2,520.23
BLUESTINFO,null,0,0,0
BODALCHEM,RED,0,4,134.05
BOMDYEING,RED,2,3,54.66
BOSCHLTD,RED,2,3,21302.18
BPCL,RED,2,3,664.01
BPL,RED,2,3,71.31
BRFL,GREEN,4,1,150.07
BRIGADE,GREEN,2,3,155.34
